Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification
US20170286014,A1,"Method and apparatus for processing sequential writes to portions of an addressible unit","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/Quyok6IjlCni1CRgzm9bdA%3D%3D,G06F00306000,G06F0003065900,711004000
US11544006,B2,"Storage device and operating method thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/YEh1dFy0OvE8VIvrl-t0hQ%3D%3D,G06F00306000,G06F0003063100,711004000
US10656840,B2,"Real-time i/o pattern recognition to enhance performance and endurance of a storage device","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/KCmjMN65EbHZ3BVWB__rBw%3D%3D,G06F01208000,G06F0003061100,711003000
US11842082,B2,"Storage device including a plurality of zones having separate compression ratios and operating method thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/_RBLsGKhYKrS1fU0YonrRQ%3D%3D,G06F00306000,G06F0003063100,711004000
US10120573,B2,"Modular sequential writing of data to data storage devices","Microsoft Technology Licensing, LLC.",https://patentscout.innography.com/share/KQqUcdx884zy08kDj2i8EA%3D%3D,G06F01300000,G06F0003060500,345540000
US8547745,B1,"Host-managed logical mass storage device using magnetic random access memory (mram)","Avalanche Technology, Inc.",https://patentscout.innography.com/share/HO7RVFgwb7_Ry8u-B0vlvA%3D%3D,G11C01134000,G06F0003061000,365185170
US12141480,B2,"Storage device and operating method thereof including a plurality of zones and operating method thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/p9lquI1CRK3Tb0qU3_mGZA%3D%3D,G06F00306000,G06F0003063100,711004000
US8670276,B1,"Host-managed logical mass storage device using magnetic random access memory (mram)","Avalanche Technology, Inc.",https://patentscout.innography.com/share/x8F4CEA8EiIkd6zqzANdUA%3D%3D,G11C01134000,G06F0003061000,365185170
US11543993,B1,"Fast garbage collection in zoned namespaces ssds","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/1sY6RKHnFtBGdriXhde3Pw%3D%3D,G06F00306000,G06F0003060800,711004000
CN117687568,A,"Sequential write stream management","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/pN2Fg0Bb7YcbyLHBnh8AYg%3D%3D,G06F00306000,G06F0003061000,711004000
US20210318820,A1,"Data storage device and operating method thereof","Mimirip LLC",https://patentscout.innography.com/share/IrnlskoTnt495nH2BENcgg%3D%3D,G06F00306000,G06F0003064400,711004000
CN117075810,A,"A data management method based on zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/4fVgjXJdWBe-TImTzgVq_w%3D%3D,G06F00306000,G06F0003061900,711004000
US11960724,B2,"Device for detecting zone parallelity of a solid state drive and operating method thereof","Sk Hynix Inc.; Industry-academic Cooperation Foundation, Dankook University",https://patentscout.innography.com/share/VHaOZP8l4K09suu-Xu54QA%3D%3D,G06F00306000,G06F0003067900,711004000
US10996863,B1,"Nonvolatile memory with configurable zone/namespace parameters and host-directed copying of data across zones/namespaces","Radian Memory Systems LLC",https://patentscout.innography.com/share/9qKea0pfUHU5nI-CzFurwA%3D%3D,G06F00306000,G06F0003061600,711004000
US12118245,B2,"File system improvements for zoned storage device operations","Microsoft Technology Licensing, LLC",https://patentscout.innography.com/share/0glob1KKJsVniRhMYhw06w%3D%3D,G06F00306000,G06F0003064400,711004000
US11126561,B2,"Method and system for organizing nand blocks and placing data to facilitate high-throughput for random writes in a solid state drive","Alibaba Group Holding Limited",https://patentscout.innography.com/share/OHB-RoIS3BgVBnsE7seUFw%3D%3D,G06F01210090,G06F0003063100,713340000
US20200363998,A1,"Controller and persistent memory shared between multiple storage devices","Intel Corporation",https://patentscout.innography.com/share/XZS3EH_tii_SbVgBJmNiRw%3D%3D,G06F00306000,G06F0003065900,711004000
US12118240,B2,"Controller and persistent memory shared between multiple storage devices","Intel Corporation",https://patentscout.innography.com/share/4il92pzwFlCrXf7RblD8xw%3D%3D,G06F00306000,G06F0003065900,711004000
US11954367,B2,"Active time-based command prioritization in data storage devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/idJdPWTZE6KFVra4M4MYXw%3D%3D,G06F00306000,G06F0003067900,711004000
KR20170092536,A,"Techniques to manage multiple sequential write streams","Intel Corporation",https://patentscout.innography.com/share/SYxIFr5qfFSZuAABkgZZ4w%3D%3D,G06F00306000,G06F0003061300,711004000
CN107111451,A,"A technique for managing a plurality of sequential write stream","Intel Corp",https://patentscout.innography.com/share/xcxhFXUvE7reSBea85OFkQ%3D%3D,G06F00306000,G06F0003061300,711004000
US20230013322,A1,"Solid state drive management method and solid state drive","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/DKo2iJAtIJgTf_XIfkxI9Q%3D%3D,G06F00306000,G06F0003061600,711004000
US12229410,B2,"Solid state drive management method and solid state drive","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/7lTP7SISyFOg6B3oWOAL8Q%3D%3D,G06F00306000,G06F0003061600,711004000
CN111158579,A,"Solid-state hard disk and the data access method","Adata Technology Co., Ltd.",https://patentscout.innography.com/share/ePTEFXlhvEeE2dQG9M2bSQ%3D%3D,G06F00306000,G06F0003061000,711004000
US10255192,B2,"Data storage device and data maintenance method thereof","Silicon Motion, Inc.",https://patentscout.innography.com/share/XSgfRSBwiNqAagBTIGvHRQ%3D%3D,G06F01200000,G06F0003064000,710244000
US11941247,B2,"Storage device, storage system, and method","Kioxia Corporation",https://patentscout.innography.com/share/ifdDI7DaeNLk8BhrsmD-wA%3D%3D,G06F01200000,G06F0003060800,710244000
US8850114,B2,"Storage array controller for flash-based storage devices","Rosenband, Daniel L",https://patentscout.innography.com/share/CJwvgufjbAKCqvSOzRAZPA%3D%3D,G06F01202000,G06F0003068800,711114000
US20150248238,A1,"Host-managed logical mass storage device using magnetic random access memory (mram)","Avalanche Technology, Inc.",https://patentscout.innography.com/share/qMhB5lQq5cNetf9xs8MuyA%3D%3D,G06F00306000,G06F0003061000,711004000
US10228854,B2,"Storage devices and methods for optimizing use of storage devices based on storage device parsing of file system metadata in host write operations","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/j8i3Ktj1QRJ27J7ZAFWCGQ%3D%3D,G06F01202000,G06F0003060800,345543000
US9317206,B2,"Host-managed logical mass storage device using magnetic random access memory (mram)","Avalanche Technology, Inc.",https://patentscout.innography.com/share/ie1p5_yNmQOPagfz2i9snA%3D%3D,G11C01134000,G06F0003061000,365018000
US20150026392,A1,"Host-managed logical mass storage device using magnetic random access memory (mram)","Avalanche Technology, Inc.",https://patentscout.innography.com/share/fm5l8sLhnRX92CgOyFJBbw%3D%3D,G06F01202000,G06F0003061000,711103000
US8947937,B1,"Host-managed logical mass storage device using magnetic random access memory (mram)","Avalanche Technology, Inc.",https://patentscout.innography.com/share/ACxeB0eeVDlovvm_f9cAjQ%3D%3D,G11C01134000,G06F0003061000,365185170
KR20200067962,A,"Method and apparatus for writing data into solid state disk","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/Z_QJ6Rjy8j12SMioBp4e0Q%3D%3D,G06F00306000,G06F0003061600,711004000
US11455107,B2,"Managing sequential write performance consistency for memory devices","Micron Technology, Inc.",https://patentscout.innography.com/share/csy62OdR5CtjT5ad8IpjWA%3D%3D,G06F00306000,G06F0003063200,711004000
US20220334755,A1,"Control block management in storage devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/1CQDl9Y34FqnEnQP2Rra6g%3D%3D,G06F00306000,G06F0003065500,711004000
US11775200,B2,"Control block management in storage devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/1AhHnwK0x96UZ8dSAz6RfA%3D%3D,G06F00306000,G06F0003065500,711004000
US12189991,B2,"Storage device controller and method capable of allowing incoming out-of-sequence write command signals","Silicon Motion, Inc.",https://patentscout.innography.com/share/IqcxrhfJD6ylo2MNmHoqMQ%3D%3D,G06F00306000,G06F0003065800,711004000
US12327031,B2,"Compaction of a logical-to-physical table for zoned namespace nonvolatile memory","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/Ux4Of9PI4-OrURHwL6gqGQ%3D%3D,G06F00306000,G06F0003067900,711004000
CN103608866,A,"For data erasing method and device for flash memory","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/0u5bKGwgnJP-SP4Vz-owLw%3D%3D,G11C01614000,G06F0003065200,365052000
CN103608866,B,"For the flash memory data erasing method and device","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/6k6ai6nlSx7a3Zoo1Xfo3w%3D%3D,G11C01614000,G06F0003065200,365052000
CN111273858,A,"Open channel solid state drive and a nonvolatile memory system","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/vDvjyQXVbu4B6zvL0uahNA%3D%3D,G06F00306000,G06F0003061900,711004000
CN110134337,A,"Based on the open channel-ssd structure strictly sequential writing method","Suzhou University",https://patentscout.innography.com/share/Yc5tNBIpmeQkxoR951vPiw%3D%3D,G06F00306000,G06F0003061000,711004000
US20230062610,A1,"Dual mode storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/eMnMX9rJjkcgGZ_gZIe0Mg%3D%3D,G06F00306000,G06F0003063400,711004000
CN108701089,A,"Method and apparatus for sequential writing of a part of processing to the addressable unit of","Intel Corp",https://patentscout.innography.com/share/jAgXLSgvxbnB_T02SQSvYQ%3D%3D,G06F01202000,G06F0003065900,345543000
US11922034,B2,"Dual mode storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/6zbm9ZTt-sF4e9EAC5NpLw%3D%3D,G06F00306000,G06F0003063400,711004000
CN107391026,B,"Flash memory device and method for managing flash memory","Silicon Motion Inc.",https://patentscout.innography.com/share/ofspRJJzh9h8PUryx8q46w%3D%3D,G06F00306000,G06F0003060700,711004000
US20130173857,A1,"Flash memory device with multi-level cells and method of writing data therein","Cheon Won-moon; Kim Seon-taek; Park Chan-ik; Choi Sung-up",https://patentscout.innography.com/share/Aed_5WYApc9LHMhsU796pw%3D%3D,G06F01202000,G06F0003061300,711103000
US8843699,B2,"Flash memory device with multi-level cells and method of writing data therein","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/WNrbJmlGF_zB1JgMt_6HJA%3D%3D,G06F01206000,G06F0003061300,711103000
US20140379970,A1,"Flash memory device with multi-level cells and method of writing data therein","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/VC0Yp8l7ghak43rePTcpIQ%3D%3D,G06F01202000,G06F0003061300,711103000
US9122592,B2,"Flash memory device with multi-level cells and method of writing data therein","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/sTfyX8WRZ2aoPiAngS_RpQ%3D%3D,G06F01206000,G06F0003061300,345571000
US20110219180,A1,"Flash memory device with multi-level cells and method of writing data therein","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/pwCC5JD1lxVnTOGc8SrZmg%3D%3D,G06F01202000,G06F0003061300,711103000
US9104686,B2,"System and method for host management of discardable objects","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/ZgdVhtDzwakhjrc30qwNjQ%3D%3D,G06F01730000,G06F0003060400,707000000
US20190056886,A1,"Host managed solid state drivecaching using dynamic write acceleration","Sk Hynix Nand Product Solutions Corp.",https://patentscout.innography.com/share/3T9SU1fmSmYlncbWZHQ9qg%3D%3D,G06F00306000,G06F0003065900,711004000
US8832361,B2,"Storage device including flash memory and capable of predicting storage device performance based on performance parameters","Kioxia Corporation",https://patentscout.innography.com/share/kOkSiIclE0IgyVE1XVRQFA%3D%3D,G06F01206000,G06F0003061000,711103000
US20140337567,A1,"Storage device including flash memory and capable of predicting storage device performance based on performance parameters","Kioxia Corporation",https://patentscout.innography.com/share/iWO-_9EVV50Z5C9QRjl8AQ%3D%3D,G06F01202000,G06F0003061000,711103000
US9026723,B2,"Storage device including flash memory and capable of predicting storage device performance based on performance parameters","Kioxia Corporation",https://patentscout.innography.com/share/6bmuW5ab7v0AoWJ_614cSw%3D%3D,G06F01200000,G06F0003061000,711103000
US20150242135,A1,"Storage device including flash memory and capable of predicting storage device performance based on performance parameters","Toshiba Memory Corporation",https://patentscout.innography.com/share/IMRqmU5O5nq4v6bR4eaLcw%3D%3D,G06F00306000,G06F0003061000,711004000
US9244620,B2,"Storage device including flash memory and capable of predicting storage device performance based on performance parameters","Toshiba Memory Corporation",https://patentscout.innography.com/share/H6IGE2sMPh_j9ZQPH-R9vw%3D%3D,G06F01202000,G06F0003061000,345543000
USRE47638,E1,"Storage device including flash memory and capable of predicting storage device performance based on performance parameters","Kioxia Corporation",https://patentscout.innography.com/share/tijWgcrpIWFVtLXtk0_aKQ%3D%3D,G06F01202000,G06F0003061000,345543000
CN111666038,B,"Using method of flash memory card opening device, controller of memory device and using method","Silicon Motion Inc.",https://patentscout.innography.com/share/iEgoPh67smvq5OIhszY5_w%3D%3D,G06F00306000,G06F0003064000,711004000
CN106445405,B,"A data access method for flash memory and device thereof","Beijing Memblaze Technology Co., Ltd.",https://patentscout.innography.com/share/czn-vbMSkfSQd9raG6J5nQ%3D%3D,G06F00306000,G06F0003060000,711004000
US20130326129,A1,"Storage device including flash memory and capable of predicting storage device performance based on performance parameters","Kioxia Corporation",https://patentscout.innography.com/share/91gR4qKpbtb276BDuz_cOA%3D%3D,G06F01202000,G06F0003061000,711103000
US11209989,B2,"Zoned namespaces in solid-state drives","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/L1fVrJHAq5K6Q5gUk9KajA%3D%3D,G06F00306000,G06F0003061600,711004000
US20200125287,A1,"Method and system for deploying solid state drive as extension of random access memory","Iqlect Software Solutions Pvt Ltd.",https://patentscout.innography.com/share/XbAiLkzS8g1N46E2bTEyqg%3D%3D,G06F00306000,G06F0003065200,711004000
CN104995595,B,"Method for controlling flash memory, a storage medium and a communication device","Unify Gmbh & Co. Kg",https://patentscout.innography.com/share/1PAanXio2fxlTZ8iclSv4Q%3D%3D,G06F00306000,G06F0003061600,711004000
US12248404,B2,"Zns standard based storage device providing data compression and method thereof","Beijing Memblaze Technology Co., Ltd",https://patentscout.innography.com/share/gcnnZPGzWdtnhFw3oYa2LA%3D%3D,G06F01210000,G06F0003060800,345568000
US20230152973,A1,"Storage device operating in zone unit and data processing system including the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/lSaGDQUe2ajaIicKQQN-_Q%3D%3D,G06F00306000,G06F0003064000,711004000
US11422734,B2,"Managing overwrite data within solid state drives","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/EoCwzCFYiHp5OiivXnWMgg%3D%3D,G06F00306000,G06F0003065200,711004000
US12039195,B2,"Provisioning zoned storage devices to sequential workloads","Credit Suisse Ag, Cayman Islands Branch",https://patentscout.innography.com/share/D2D6n7DaEfrst96Pz3sgtw%3D%3D,G06F01200000,G06F0003065900,710244000
US11226761,B2,"Weighted read commands and open block timer for storage devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/Zj_3s6Hsihhysyeqe2TmEQ%3D%3D,G06F00306000,G06F0003065200,711004000
US11816350,B2,"Managing overwrite data within solid state drives","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/P_7t6dPafIkV77M6FVZxiA%3D%3D,G06F00306000,G06F0003065200,711004000
US12008252,B2,"Data storage device with data padding and safe and efficient alignment of data zones with data containers","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/oWJ4cgfk96vtk5gcrXzSzA%3D%3D,G11B02018000,G06F0003061900,369053450
US11941274,B2,"Data storage device with variable containers for logic blocks","Western Digital Technologies, Inc.,",https://patentscout.innography.com/share/FPJczitZHolYLZqU42c9oA%3D%3D,G06F00306000,G06F0003067600,711004000
CN112988068,B,"Memory control method, memory storage device and memory controller","Hosin Global Electronics Co., Ltd.",https://patentscout.innography.com/share/D4jL9_jLFRoSymzqj-S7pw%3D%3D,G06F00306000,G06F0003060400,711004000
CN111124305,A,"Solid state disk abrasion equalization method, device, and computer readable storage medium","Inspur Electronic Information Industry Co., Ltd.",https://patentscout.innography.com/share/qi2zTjn8v57lOu93v9oLGQ%3D%3D,G06F00306000,G06F0003061600,711004000
US20130080688,A1,"Data storage device and method of writing data in the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/t30iuiwwThbeoRy66Xt_oQ%3D%3D,G06F01202000,G06F0003061000,711103000
US8984219,B2,"Data storage device and method of writing data in the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/72DO-JNPoZn8xoBXazt8fA%3D%3D,G06F01200000,G06F0003061000,711113000
US20210397347,A1,"Data protection method, memory storage device and memory control circuit unit","Phison Electronics Corp.",https://patentscout.innography.com/share/zdYiqrNsCaHNSDy5ybpn6Q%3D%3D,G06F00306000,G06F0003062000,711004000
US11604586,B2,"Data protection method, with disk array tags, memory storage device and memory control circuit unit","Phison Electronics Corp.",https://patentscout.innography.com/share/cRyDLj4d7BGWgYr0kgqE9A%3D%3D,G06F00306000,G06F0003062000,711004000
US10585612,B2,"Optimized sequential writes on mirrored disks","International Business Machines Corporation",https://patentscout.innography.com/share/EepM5-0YIxHzVgM5caLe6Q%3D%3D,G06F01200000,G06F0003067000,710244000
CN111736755,A,"Data storage device, operation method thereof and storage system comprising the same","Sk Hynix Inc.",https://patentscout.innography.com/share/2JvT3rNnZzBSb-Ld-tvRcw%3D%3D,G06F00306000,G06F0003065800,711004000
US20210279170,A1,"Data storage device and data processing method","Silicon Motion, Inc.",https://patentscout.innography.com/share/VSjiFg7DGEPIsy49zbrlUg%3D%3D,G06F01202000,G06F0003061000,345543000
CN115629706,A,"A host management method, device, device and medium","Jinan Inspur Data Technology Co., Ltd.",https://patentscout.innography.com/share/c7nQQeKnxOzHLEC3v43-FQ%3D%3D,G06F00306000,G06F0003060400,711004000
US11928365,B2,"Logical storage device access using datastore-level keys in an encrypted storage environment","Credit Suisse Ag, Cayman Islands Branch",https://patentscout.innography.com/share/l5sYC1GE95k4MqXv06jm8A%3D%3D,G06F00306000,G06F0003066400,711004000
US11237751,B2,"Failover for failed secondary in cross-zone replicated block storage devices","Amazon Technologies, Inc.",https://patentscout.innography.com/share/yRcPsSTKFptfjpur4zTs_A%3D%3D,G06F00306000,G06F0003061700,711004000
KR102521528,B1,"Control method for storage device of driving recorder and storage device control system","Sigmastar Technology Ltd.",https://patentscout.innography.com/share/weONDgtl14C0mYZZ4PI7jg%3D%3D,G06F00306000,G06F0003064300,711004000
KR20210112231,A,"Methods and apparatuses for peer-to-peer data channels for storage devices","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/BKqW_9B9hlATIYN7k_uyKQ%3D%3D,G06F00306000,G06F0003067000,711004000
CN113377279,A,"Data storage device and data processing method","Silicon Motion Inc.",https://patentscout.innography.com/share/tBprFJ4QT7JK_4nMk5zFEA%3D%3D,G06F00306000,G06F0003061000,711004000
CN113515231,A,"Data storage device and operation method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/3-4fi-71Spo0lrMpfvb0rw%3D%3D,G06F00306000,G06F0003064400,711004000
US11614893,B2,"Optimizing storage device access based on latency","Pure Storage, Inc.",https://patentscout.innography.com/share/eL_RlwY62XhZWL5BcJHikg%3D%3D,G06F00306000,G06F0003065900,711004000
US10572160,B1,"Dynamic cache management in storage devices","Amazon Technologies, Inc.",https://patentscout.innography.com/share/5eic7E9Ade8Vcz77cw9tGw%3D%3D,G06F00306000,G06F0003061000,711004000
US11726679,B2,"Applying endurance groups to zoned namespaces","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/iwjN4D__N96nVjxkHwtqFw%3D%3D,G06F00306000,G06F0003061600,711004000
US12346561,B2,"Methods for handling input-output operations in zoned storage systems and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/ZJ2Eum4T_-4a-FxVOfPuFw%3D%3D,G06F00306000,G06F0003060800,711004000
KR20240161481,A,"Storage device allocating unit zone regions, and method of operating the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/uGNvdZCNeZ30l4yM40z_3Q%3D%3D,G06F00306000,G06F0003061600,711004000
CN119415016,A,"Solid state hard disk ssd management method, device and solid state hard disk ssd","Shandong Yunhai Guochuang Cloud Computing Equipment Industry Innovation Center Co., Ltd.",https://patentscout.innography.com/share/3fG8_xYf42KsqdXN1ZVTUg%3D%3D,G06F00306000,G06F0003061300,711004000
CN109582227,A,"Solid state disk write method, apparatus, computer apparatus, and storage medium","Shenzhen Unionmemory Information System Limited",https://patentscout.innography.com/share/uU4GjUTczMZ2VHajPGuS8w%3D%3D,G06F00306000,G06F0003061400,711004000
US8725938,B2,"Apparatus, system, and method for testing physical regions in a solid-state storage device","Sandisk Technologies LLC",https://patentscout.innography.com/share/iGrTik8iYNUT9gxmqSNRkw%3D%3D,G06F01216000,G06F0003061600,711103000
KR20250089031,A,"File system data management method and system for zoned namespaces ssd","Iucf-hyu (industry-university Cooperation Foundation Hanyang University)",https://patentscout.innography.com/share/wzUUAQXNmyRY8vs5yOt8hQ%3D%3D,G06F00306000,G06F0003064300,711004000
KR20210080171,A,"Zoned namespace with zone grouping","Intel Corporation",https://patentscout.innography.com/share/U-tdD4qaIYJhdlHWIDqcTQ%3D%3D,G06F00306000,G06F0003064000,711004000
CN103488583,A,"A solid-state disk method for realizing high-performance high-reliability","Huazhong University Of Science And Technology",https://patentscout.innography.com/share/HgpVHEZFJca1g6p-CMOUiw%3D%3D,G06F00306000,G06F0003060000,711003000
CN117348807,A,"Method, device, device and medium for prolonging service life of solid state hard disk","Shandong Yunhai Guochuang Cloud Computing Equipment Industry Innovation Center Co., Ltd.",https://patentscout.innography.com/share/bA53K8pXOL0jIWHnSK15Ig%3D%3D,G06F00306000,G06F0003061600,711004000
US11640260,B2,"Fast garbage collection in zoned namespaces ssds","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/FG1-9tslj3ha0GkVtcaTIA%3D%3D,G06F00306000,G06F0003060800,711004000
CN119597219,A,"A method for improving service life of solid state hard disk","Hongqin (beijing) Technology Co., Ltd.",https://patentscout.innography.com/share/g57G0MtEMeZsemUhQtzlTw%3D%3D,G06F00306000,G06F0003060000,711004000
US8407409,B2,"Metrics and management for flash memory storage life","Hitachi, Ltd.",https://patentscout.innography.com/share/eCjB_Wc8YmRJ0Ff5Z7KEaA%3D%3D,G06F01200000,G06F0003065300,711103000
US20130297855,A1,"Ensuring write operation consistency using multiple storage devices","Riverbed Technology LLC",https://patentscout.innography.com/share/WGeHCXHKK3miJmtq_r8reg%3D%3D,G06F01202000,G06F0003065600,711103000
US8745320,B2,"Ensuring write operation consistency using multiple storage devices","Riverbed Technology LLC",https://patentscout.innography.com/share/CrAzQcltOboiRzOHioYMwA%3D%3D,G06F01202000,G06F0003065600,711103000
CN103488583,B,"A solid-state disk method for realizing high-performance high-reliability","Huazhong University Of Science & Technology",https://patentscout.innography.com/share/pJz1Dm4rcEbkM8iE5ooE6Q%3D%3D,G06F00306000,G06F0003060000,711003000
US11966610,B2,"Storage device capable of adjusting size of zoned namespace and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/iTvo_k7duBOktvY1tfkx2A%3D%3D,G06F01200000,G06F0003067000,710244000
CN104461393,A,"A hybrid mapping method for flash memory","Huazhong University Of Science And Technology",https://patentscout.innography.com/share/EkYinW0S5FXrCGURjXBtjw%3D%3D,G06F00306000,G06F0003065900,711004000
US20230134639,A1,"Storage device and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/pJpj46kxyYIsfpV9iWD2FA%3D%3D,G06F00306000,G06F0003067000,711004000
US11899980,B2,"Storage device including a turbo write buffer divided into a non-pinned buffer area and a pinned buffer area, an operation method of a storage system including the storage device in which data of the non-pinned and pinned buffer areas are flushed differently, and a host device controlling the storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/znYgtuX5vRtibOsE-0UiLA%3D%3D,G06F00306000,G06F0003065800,711004000
KR20230115197,A,"Storage controller managing different types of blocks, an operating method thereof, and an operating method of a storage device including the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/JsuAojIXXSH3ctepBGWM1g%3D%3D,G06F00306000,G06F0003064000,711004000
US20220019370,A1,"Partial zone memory unit handling in a zoned namespace of a memory device","Micron Technology, Inc.",https://patentscout.innography.com/share/6e4URJsvf1rdOt9pIkWzlQ%3D%3D,G06F00306000,G06F0003064400,711004000
CN116069239,A,"Storage device and operation method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/xi5TQhMPQTjcOIt4A8v_tQ%3D%3D,G06F00306000,G06F0003067000,711004000
CN107430493,A,"Sequentially writing flow management","Intel Corp",https://patentscout.innography.com/share/nuymrUoEzlRCzUQw2MS7MA%3D%3D,G06F00306000,G06F0003061000,711004000
US11199983,B2,"Apparatus for obsolete mapping counting in nand-based storage devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/WKoaiPgGVld1QWggbSMN4A%3D%3D,G06F00306000,G06F0003061000,711004000
CN114730605,A,"Weighted read command and open block timer for a storage device","Western Digital Technologies Inc.",https://patentscout.innography.com/share/gLL0XrxE9W5MQpaDHd_zHA%3D%3D,G11C01634000,G06F0003065200,365052000
