Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
CN109582227,A,"Solid state disk write method, apparatus, computer apparatus, and storage medium","Shenzhen Unionmemory Information System Limited",https://patentscout.innography.com/share/uU4GjUTczMZ2VHajPGuS8w%3D%3D,G06F00306000,G06F0003061400,711004000,2019-04-05,2022-01-21,2019-04-05,2018-11-15,2018-11-15,2022-01-21,2019-04-05,2019-04-05,"Wang, Meng|Xu, Weihua"
US20230051806,A1,"Reducing write amplification and over-provisioning using flash translation layer synchronization","Intel Corporation",https://patentscout.innography.com/share/Nt4-apF5nhGg-JNLSi8mYg%3D%3D,G06F00306000,G06F0003066500,711004000,2023-02-16,,2023-02-16,2022-11-02,2022-11-02,2042-11-02,2023-02-16,2023-02-16,"Karkra, Kapil|Malikowski, Wojciech|Barczak, Mariusz|Bahirat, Shirish"
US11455107,B2,"Managing sequential write performance consistency for memory devices","Micron Technology, Inc.",https://patentscout.innography.com/share/csy62OdR5CtjT5ad8IpjWA%3D%3D,G06F00306000,G06F0003063200,711004000,2021-04-01,2022-09-27,2022-09-27,2019-09-27,2019-10-28,2039-09-27,2021-04-01,2021-04-01,"Rajgopal, Suresh|Wang, Ling|Wei, Yue|Rayaprolu, Vamsi Pavan"
US10289317,B2,"Memory apparatus and methods thereof for write amplification aware wear leveling","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/iJ5v369MB4xRA42tui4z9g%3D%3D,G06F00306000,G06F0003061600,711004000,2018-07-05,2019-05-14,2019-05-14,2016-12-31,2016-12-31,2036-12-31,2018-07-05,2018-07-05,"Tai, Ming-yu|Pillai, Subhash Balakrishna|Ji, Yung-li|Liu, Haining"
US11226776,B2,"Zone storage data placement","International Business Machines Corporation",https://patentscout.innography.com/share/dsTQ4IAZgELtxzoQ670iCQ%3D%3D,G06F00306000,G06F0003061100,711004000,2021-09-02,2022-01-18,2022-01-18,2020-02-28,2020-02-28,2040-05-10,2021-09-02,2021-09-02,"Williams, Jordan Harrison|Martin, Benjamin Lee|Volvovski, Ilya|Viraraghavan, Praveen"
US9348517,B2,"Using a migration threshold and a candidate list for cache management of sequential write storage","International Business Machines Corporation",https://patentscout.innography.com/share/rrsLHINGm2fZ73zrc9ujrA%3D%3D,G06F01300000,G06F0003061000,345540000,2016-03-03,2016-05-24,2016-05-24,2014-08-28,2014-08-28,2024-05-24,2016-03-03,2016-03-03,"Hineman, Wayne C.|Rees, Robert M.|Zhou, Pin"
US20230251797,A1,"Performing low latency operations using a distinct set of resources","Pure Storage, Inc.",https://patentscout.innography.com/share/oOpaAMDDqa3JqYT79ovjBw%3D%3D,G06F00306000,G06F0003065900,711004000,2023-08-10,2025-04-22,2023-08-10,2010-09-15,2023-03-27,2025-04-22,2021-06-10,2012-03-15,"Kannan, Hari|Feigin, Boris|Gao, Ying|Colgrove, John"
US10572160,B1,"Dynamic cache management in storage devices","Amazon Technologies, Inc.",https://patentscout.innography.com/share/5eic7E9Ade8Vcz77cw9tGw%3D%3D,G06F00306000,G06F0003061000,711004000,,2020-02-25,2020-02-25,2016-03-30,2018-11-05,2036-03-30,2018-11-06,2018-11-06,"Farhan, Munif M.|Ng, Phyllis|Frink, Darin Lee|Bshara, Nafea"
US12039165,B2,"Utilizing allocation shares to improve parallelism in a zoned drive storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/uUpVlT4UEURnfNw-o9zKsg%3D%3D,G06F00306000,G06F0003061000,711004000,2021-09-16,2024-07-16,2024-07-16,2016-10-04,2021-06-02,2037-01-30,2021-09-16,2017-05-04,"Karr, Ronald|Brennan, Timothy W."
US11397529,B2,"Method and device for determining strategy for data placement within ssd","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/rVdH9ErLa8QTFKuk-6fLZg%3D%3D,G06F00306000,G06F0003061000,711004000,2021-07-01,2022-07-26,2022-07-26,2019-12-25,2020-11-19,2040-11-19,2020-05-19,2020-05-19,"Chen, Wenwen|Xia, Wei"
US20210200448,A1,"Method and device for determining strategy for data placement within ssd","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/B97yEppc7lVURsIIqMQCnw%3D%3D,G06N02000000,G06F0003061000,711004000,2021-07-01,2022-07-26,2021-07-01,2019-12-25,2020-11-19,2022-07-26,2020-05-19,2020-05-19,"Chen, Wenwen|Xia, Wei"
KR20210082345,A,"Method and device for determining strategy for data placement within ssd","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/91eyeflWM6v0ELv8ifK5MQ%3D%3D,G06F01202000,G06F0003061000,345543000,2021-07-05,,2021-07-05,2019-12-25,2020-11-10,2040-11-10,2020-05-19,2020-05-19,"Chen, Wenwen|Xia, Wei"
CN117056245,A,"Data organizing method for log recording application based on zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/0NvXac7IUhXUxhHngDcC5g%3D%3D,G06F01202000,G06F0012024600,345543000,2023-11-14,2024-02-23,2023-11-14,2023-08-18,2023-08-18,2024-02-23,2023-11-14,2023-11-14,"Liu, Liechao|Liu, Xingbin"
US11507500,B2,"Storage system having a host directly manage physical data locations of storage device","Kioxia Corporation",https://patentscout.innography.com/share/Is9T9aAzWPFWr0OwswJqBQ%3D%3D,G06F01202000,G06F0012024600,345543000,2021-09-30,2022-11-22,2022-11-22,2015-04-28,2021-06-14,2036-03-07,2016-11-03,2016-11-03,"Hashimoto, Daisuke"
US11036628,B2,"Storage system having a host directly manage physical data locations of storage device","Kioxia Corporation",https://patentscout.innography.com/share/5f4CvfW7_DylhSTJngI5QQ%3D%3D,G06F01114000,G06F0012024600,713340000,2020-01-30,2021-06-15,2021-06-15,2015-04-28,2019-09-30,2036-03-07,2016-11-03,2016-11-03,"Hashimoto, Daisuke"
CN113778911,B,"L2p data caching method, device, readable storage media and electronic device","Chengdu Biwin Storage Technology Co., Ltd.",https://patentscout.innography.com/share/qGNtnIhPNn_V2Xp10Pg2pg%3D%3D,G06F01208710,G06F0012087100,713340000,2021-12-10,2023-11-21,2023-11-21,2021-08-04,2021-08-04,2041-08-03,2021-12-10,2021-12-10,"Sun, Chengsi|Sun, Rixin|Hu, Wei"
US20210271394,A1,"Zone storage data placement","International Business Machines Corporation",https://patentscout.innography.com/share/8n2otB83E09Dcd4-4FJEdA%3D%3D,G06F00306000,G06F0003061100,711004000,2021-09-02,2022-01-18,2021-09-02,2020-02-28,2020-02-28,2022-01-18,2021-09-02,2021-09-02,"Williams, Jordan Harrison|Martin, Benjamin Lee|Volvovski, Ilya|Viraraghavan, Praveen"
CN112988068,B,"Memory control method, memory storage device and memory controller","Hosin Global Electronics Co., Ltd.",https://patentscout.innography.com/share/D4jL9_jLFRoSymzqj-S7pw%3D%3D,G06F00306000,G06F0003060400,711004000,2021-06-18,2023-03-10,2023-03-10,2021-03-10,2021-03-10,2041-03-09,2021-06-18,2021-06-18,"Wu, Zonglin"
CN112596667,A,"Method and system for organizing nand blocks and placing data in a solid state drive to facilitate random write-in high throughput","Alibaba Group Holding Ltd.",https://patentscout.innography.com/share/nKiMwxWqJpOqmbufHqyLqA%3D%3D,G06F00306000,G06F0003063100,711004000,2021-04-02,2024-06-11,2021-04-02,2019-10-01,2020-09-25,2024-06-11,2021-04-01,2021-04-01,"Li, Shu"
US20220171540,A1,"Reducing wear on zoned storage devices for storing digital data","Red Hat, Inc.",https://patentscout.innography.com/share/McvehWqiB8UM5ncsAx9qkw%3D%3D,G06F00306000,G06F0003061600,711004000,2022-06-02,2022-10-25,2022-06-02,2020-11-30,2020-11-30,2022-10-25,2022-06-02,2022-06-02,"Lublin, Uri|Benhanokh, Gabriel Zvi"
US11481120,B2,"Reducing wear on zoned storage devices for storing digital data","Red Hat, Inc.",https://patentscout.innography.com/share/grkW-LIBWmMKd8P3GV-VaQ%3D%3D,G06F00306000,G06F0003061600,711004000,2022-06-02,2022-10-25,2022-10-25,2020-11-30,2020-11-30,2040-11-30,2022-06-02,2022-06-02,"Lublin, Uri|Benhanokh, Gabriel Zvi"
US12292827,B2,"Storage device including nonvolatile memory device and operating method of storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/fes1t7NVneIOM2RN9wQ5Vg%3D%3D,G06F01110000,G06F0012029200,714807000,2024-02-29,2025-05-06,2025-05-06,2022-08-31,2023-08-25,2043-09-14,2024-02-29,2024-02-29,"Choi, Seunghyun|Park, Keunsan|Shin, Heetak|Han, Junyeong|Kim, Gyeongmin|Bae, Joon-whan|Hwang, Jooyoung"
US12298902,B2,"Storage device including nonvolatile memory device and operating method of storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/L3hpTybD1ermuKOX0ttiQg%3D%3D,G06F01200000,G06F0012029200,710244000,2024-02-29,2025-05-13,2025-05-13,2022-08-31,2023-08-24,2043-09-13,2024-02-29,2024-02-29,"Bae, Joon-whan|Han, Junyeong|Mun, Kui-yon|Shin, Heetak"
US12079487,B2,"Zoned namespaces in solid-state drives","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/LBy1_crtjyhMa30JpljxUw%3D%3D,G06F00306000,G06F0003061600,711004000,2022-03-31,2024-09-03,2024-09-03,2019-09-25,2021-12-10,2040-03-02,2021-03-25,2021-03-25,"Bjorling, Matias|Hellwig, Horst-christoph Georg|Landsman, David|Helmick, Daniel L.|Parker, Liam|Bennett, Alan D.|Grayson, Peter|Hahn, Judah Gamliel"
CN117056245,B,"Data organizing method for log recording application based on zns solid state hard disk","Wuhan Lugu Technology Co., Ltd.",https://patentscout.innography.com/share/viwinuEe5eOLyHcJ1m6jwA%3D%3D,G06F01202000,G06F0012024600,345543000,2023-11-14,2024-02-23,2024-02-23,2023-08-18,2023-08-18,2043-08-17,2023-11-14,2023-11-14,"Liu, Liechao|Liu, Xingbin"
CN116974479,A,"Data placing method and system suitable for zns ssd write amplification optimization","Huazhong University Of Science And Technology",https://patentscout.innography.com/share/3oTa_f5KjS0Uy7FwWlZ9Tw%3D%3D,G06F00306000,G06F0003061400,711004000,2023-10-31,,2023-10-31,2023-07-31,2023-07-31,2043-07-31,2023-10-31,2023-10-31,"Wang, Hua|Luo, Siqi|Zhou, Ke|Tan, Difan"
US20210097003,A1,"Method and system for organizing nand blocks and placing data to facilitate high-throughput for random writes in a solid state drive","Alibaba Group Holding Limited",https://patentscout.innography.com/share/YVDQDjKklVG_DE9F4UcvFQ%3D%3D,G06F01210090,G06F0003063100,713340000,2021-04-01,2021-09-21,2021-04-01,2019-10-01,2019-10-01,2021-09-21,2021-04-01,2021-04-01,"Li, Shu"
CN112596667,B,"Method and system for organizing nand blocks in a solid state drive and placing data for high throughput for random writing","Alibaba Group Holding Ltd.",https://patentscout.innography.com/share/GLRlHINOAuE4Lm9ulyVIEg%3D%3D,G06F00306000,G06F0003063100,711004000,2021-04-02,2024-06-11,2024-06-11,2019-10-01,2020-09-25,2040-09-24,2021-04-01,2021-04-01,"Li, Shu"
US11836374,B1,"Storage system and method for data placement in zoned storage","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/lT9oxPalpgO_2mJe4633fw%3D%3D,G06F00306000,G06F0003065200,711004000,2023-11-30,2023-12-05,2023-12-05,2022-05-31,2022-07-08,2042-07-11,2023-11-30,2023-11-30,"Sela, Rotem|Zilberstein, Einav|Druck, Asher"
US20210096755,A1,"Managing sequential write performance consistency for memory devices","Micron Technology, Inc.",https://patentscout.innography.com/share/hx5CqxqXuZ_nwmCjHdHE2A%3D%3D,G06F00306000,G06F0003063200,711004000,2021-04-01,2022-09-27,2021-04-01,2019-09-27,2019-10-28,2022-09-27,2021-04-01,2021-04-01,"Rajgopal, Suresh|Wang, Ling|Wei, Yue|Rayaprolu, Vamsi Pavan"
CN114442936,B,"Block management method, device, device and storage medium of flash memory conversion layer","Shandong Yunhai Guochuang Cloud Computing Equipment Industry Innovation Center Co., Ltd.",https://patentscout.innography.com/share/qB97RnLuwnUXGiihFoHLmA%3D%3D,G06F00306000,G06F0003064000,711004000,2022-05-06,2024-03-08,2024-03-08,2021-12-29,2021-12-29,2041-12-28,2022-05-06,2022-05-06,"Fu, Fengzhi|Gao, Meizhou|Liu, Minzhai"
US20210096778,A1,"Host managed buffer to store a logical-to physical address table for a solid state drive","Intel Corporation",https://patentscout.innography.com/share/6AGAbdGMJVySTplVlwJN_w%3D%3D,G06F00306000,G06F0003065900,711004000,2021-04-01,2024-06-18,2021-04-01,2020-12-15,2020-12-15,2024-06-18,2021-04-01,2021-04-01,"Nagarajan, Suresh|Mukker, Anoop|Natarajan, Shankar|Trivedi, Romesh"
US12014081,B2,"Host managed buffer to store a logical-to physical address table for a solid state drive","Intel Corporation",https://patentscout.innography.com/share/ND-5IRIpLOQ9MUiotxS7Ow%3D%3D,G06F00306000,G06F0003065900,711004000,2021-04-01,2024-06-18,2024-06-18,2020-12-15,2020-12-15,2042-07-22,2021-04-01,2021-04-01,"Nagarajan, Suresh|Mukker, Anoop|Natarajan, Shankar|Trivedi, Romesh"
CN114442936,A,"Block management method of flash memory conversion layer, device storage medium device and","Shandong Yunhai Guochuang Cloud Computing Equipment Industry Innovation Center Co., Ltd.",https://patentscout.innography.com/share/JuxfCA2vEEwKabrNJW1WkA%3D%3D,G06F00306000,G06F0003064000,711004000,2022-05-06,2024-03-08,2022-05-06,2021-12-29,2021-12-29,2024-03-08,2022-05-06,2022-05-06,"Fu, Fengzhi|Gao, Meizhou|Liu, Minzhai"
US11113006,B2,"Dynamic data placement for collision avoidance among concurrent write streams","Micron Technology, Inc.",https://patentscout.innography.com/share/Pl044c5uLWY2J-OBS27m5Q%3D%3D,G06F00306000,G06F0003065900,711004000,2020-11-12,2021-09-07,2021-09-07,2019-05-06,2020-05-01,2040-05-01,2020-11-12,2020-11-12,"Subbarao, Sanjay"
CN113785278,A,"Dynamic data placement for avoiding collisions between concurrent write flows","Micron Technology Inc.",https://patentscout.innography.com/share/BI1_BiTIq-FuvpejT0GqlQ%3D%3D,G06F01210720,G06F0003065900,713340000,2021-12-10,2024-06-18,2021-12-10,2019-05-06,2020-05-05,2024-06-18,2020-11-12,2020-11-12,"Subbarao, Sanjay"
CN117242439,A,"Intelligent data placement on hierarchical storage","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/SQcHu7VDSEwizoV49A9akA%3D%3D,G06F01208620,G06F0012086200,713340000,2023-12-15,,2023-12-15,2021-05-04,2021-05-04,2041-05-04,2022-11-10,2022-11-10,"Natason, Asaf|Schneider, Zvi"
US20220027282,A1,"Flash memory controller mechanism capable of generating host-based cache information or flash-memory-based cache information to build and optimize binary tree with fewer nodes when cache stores data from host","Silicon Motion, Inc.",https://patentscout.innography.com/share/q2DzUdD9g7Vcj0NWF2YKrQ%3D%3D,G06F01208880,G06F0003061100,713340000,2022-01-27,2023-04-18,2022-01-27,2020-03-17,2021-10-06,2023-04-18,2021-09-17,2021-09-17,"Li, Kuan-hui"
US11630780,B2,"Flash memory controller mechanism capable of generating host-based cache information or flash-memory-based cache information to build and optimize binary tree with fewer nodes when cache stores data from host","Silicon Motion, Inc.",https://patentscout.innography.com/share/gEY98I6bgIXExyd0bc-Cdw%3D%3D,G06F01208000,G06F0003061100,711003000,2022-01-27,2023-04-18,2023-04-18,2020-03-17,2021-10-06,2039-09-27,2021-09-17,2021-09-17,"Li, Kuan-hui"
US11392314,B2,"Sequentially writing metadata into a solid state disk by redirect-on-write","Emc Ip Holding Company LLC",https://patentscout.innography.com/share/o0IpyASfU0qlogsZmKcz2Q%3D%3D,G06F00306000,G06F0003060200,711004000,2021-09-30,2022-07-19,2022-07-19,2020-03-25,2020-09-21,2040-11-04,2021-09-28,2021-09-28,"Lv, Shuo|Zhang, Ming"
CN102841850,B,"Method and system for reducing write amplification of solid hard disk","Ramaxel Technology Ltd.",https://patentscout.innography.com/share/e50xsPxYK6DmWszYq1LxTg%3D%3D,G06F01202000,G06F0012020000,345543000,2012-12-26,2016-04-20,2016-04-20,2012-06-19,2012-06-19,2024-07-02,2012-12-26,2012-12-26,"He, Hao"
US8972645,B2,"Request sent to storage device based on moving average","Hewlett Packard Enterprise Development Lp",https://patentscout.innography.com/share/APn2E7XZxOp67o4RASbsdQ%3D%3D,G06F01336000,G06F0012088800,710308000,2014-03-20,2015-03-03,2015-03-03,2012-09-19,2012-09-19,2033-06-22,2014-03-20,2014-03-20,"Pan, Weimin|Oelke, Mark Lyndon"
CN112988068,A,"Memory control method, memory storage device and memory controller","Hosin Global Electronics Co., Ltd.",https://patentscout.innography.com/share/R_ADnyDTvwLeVZUcqkAwfw%3D%3D,G06F00306000,G06F0003060400,711004000,2021-06-18,2023-03-10,2021-06-18,2021-03-10,2021-03-10,2023-03-10,2021-06-18,2021-06-18,"Wu, Zonglin"
US20230393742,A1,"Latency reduction of flash-based devices using programming interrupts","Pure Storage, Inc.",https://patentscout.innography.com/share/m0YnldjGdTSMZbY7C3SHdw%3D%3D,G06F00306000,G06F0003061000,711004000,2023-12-07,,2023-12-07,2022-06-06,2023-06-05,2043-06-05,2023-12-07,2012-03-15,"Karr, Ronald|Kannan, Hari|Lee, Robert|Kirkpatrick, Peter E."
CN106227465,A,"A ring structure of data placement method","Institute Of Software, Chinese Academy Of Sciences",https://patentscout.innography.com/share/D8tMQyziPciCPmdLtfyjRA%3D%3D,G06F00306000,G06F0003067000,711004000,2016-12-14,2019-05-14,2016-12-14,2016-07-15,2016-07-15,2019-05-14,2016-12-14,2016-12-14,"Song, Junping|Liu, Lihui|Wang, Haibo|Lyu, Pin|Deng, Yong"
US20230367498,A1,"Stream oriented writing for improving sequential write and read performance","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/JI2dOq0on7PDWUPRE_hKtQ%3D%3D,G06F00306000,G06F0012024600,711004000,2023-11-16,2024-09-17,2023-11-16,2022-05-10,2022-05-10,2024-09-17,2023-11-16,2023-11-16,"Gunda, Sridhar Prudviraj|Bordia, Kalpit"
US12093548,B2,"Stream oriented writing for improving sequential write and read performance","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/eBuyzFSRVogYutqXBPlC7A%3D%3D,G06F00306000,G06F0012024600,711004000,2023-11-16,2024-09-17,2024-09-17,2022-05-10,2022-05-10,2042-07-29,2023-11-16,2023-11-16,"Gunda, Sridhar Prudviraj|Bordia, Kalpit"
US11221961,B1,"Configuration of nonvolatile memory as virtual devices with user defined parameters","Radian Memory Systems LLC",https://patentscout.innography.com/share/C1tUVGQxHVTM5j7jVKtcAw%3D%3D,G06F01210090,G06F0012100900,713340000,,2022-01-11,2022-01-11,2014-09-09,2020-03-27,2035-10-11,2017-01-10,2014-07-31,"Lercari, Robert|Chen, Alan|Jadon, Mike|Robertson, Craig|Kuzmin, Andrey V."
CN111176564,A,"Method and device for determining data in the ssd placement strategy","Samsung (china) Semiconductor Co., Ltd.; Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/EJS9WI24l83LS-FLw4WhCQ%3D%3D,G06F00306000,G06F0003061000,711004000,2020-05-19,2024-02-27,2020-05-19,2019-12-25,2019-12-25,2024-02-27,2020-05-19,2020-05-19,"Chen, Wenwen|Xia, Wei"
US20240393953,A1,"Bandwidth control method and storage device","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/MQmrvYwmVTm-jWF4kSdGZA%3D%3D,G06F00306000,G06F0003060400,711004000,2024-11-28,,2024-11-28,2023-05-26,2023-07-05,2043-07-05,2023-09-15,2023-09-15,"Qi, Hui|Xia, Jing"
KR20240170341,A,"Storage device and operating method thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/y-_EC2I2nCIStx_-m3WaDA%3D%3D,G06F00306000,G06F0003060400,711004000,2024-12-03,,2024-12-03,2023-05-26,2023-07-13,2043-07-13,2023-09-15,2023-09-15,"Qi, Hui|Xia, Jing"
US11442658,B1,"System and method for selecting a write unit size for a block storage device","Lightbits Labs Ltd.",https://patentscout.innography.com/share/9mWGbKux_hUFD8yGUbgckA%3D%3D,G06F00306000,G06F0003065500,711004000,,2022-09-13,2022-09-13,2020-07-12,2021-05-28,2041-05-28,2022-09-13,2022-09-13,"Ben-yehuda, Shmuel|Efrati, Ofir|Gordon, Abel Alkon|Hayut, Ofer|Kirzner, Eran|Shpiner, Alexander|Shterman, Roy|Vanmak, Maor"
CN116755877,A,"Bandwidth control method and storage device","Samsung (china) Semiconductor Co., Ltd.; Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/Yhar757nW6YvNqBj3aQ99A%3D%3D,G06F00950000,G06F0003060400,713340000,2023-09-15,,2023-09-15,2023-05-26,2023-05-26,2043-05-26,2023-09-15,2023-09-15,"Xia, Jing|Qi, Hui"
US20230137668,A1,"Storage device and storage system","Innogrit Technologies Co., Ltd.",https://patentscout.innography.com/share/t4sso7C68C2wlPY88FHStw%3D%3D,G06F00306000,G06F0003064400,711004000,2023-05-04,2024-04-23,2023-05-04,2021-10-28,2022-10-28,2024-04-23,2022-01-28,2022-01-28,"Li, Tianren|Hu, Gang"
CN113448490,A,"Method for storing, device and computer program product","Emc Ip Holding Company LLC",https://patentscout.innography.com/share/l2QM2t3Li3DAXWPTWtkOPQ%3D%3D,G06F00306000,G06F0003060200,711004000,2021-09-28,,2021-09-28,2020-03-25,2020-03-25,2024-09-27,2021-09-28,2021-09-28,"Lyu, Shuo|Zhang, Ming"
US20160077747,A1,"Efficient combination of storage devices for maintaining metadata","Dell Products, Lp",https://patentscout.innography.com/share/seEscQPxSI3SlY-gzu_PVg%3D%3D,G06F01114000,G06F0003061300,711004000,2016-03-17,,2016-03-17,2014-09-11,2014-09-11,2019-03-21,2016-03-17,2016-03-17,"Snaman, Jr William Edward"
US20140082249,A1,"Request sent to storage device based on moving average","Hewlett Packard Enterprise Development Lp",https://patentscout.innography.com/share/cDFbh7jMMdPgQqzEq0BLSg%3D%3D,G06F01316000,G06F0012088800,710308000,2014-03-20,2015-03-03,2014-03-20,2012-09-19,2012-09-19,2015-03-03,2014-03-20,2014-03-20,"Pan, Weimin|Oelke, Mark Lyndon"
US20240168684,A1,"Efficient deallocation and reset of zones in storage device","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/qCnpCVpOqRDeCE8fi7fZ5w%3D%3D,G06F00306000,G06F0003063100,711004000,2024-05-23,,2024-05-23,2022-11-22,2023-07-13,2043-07-13,2024-05-23,2024-05-23,"Li, Xiaoying|Kwon, Hyuk-il"
KR20250019122,A,"Reducing latency in flash-based devices using programming interrupts","Pure Storage, Inc.",https://patentscout.innography.com/share/yAyXUSlPjXUPou_V3w21pQ%3D%3D,G06F01202000,G06F0012024600,345543000,2025-02-07,,2025-02-07,2022-06-06,2023-06-06,2043-06-06,2023-12-14,2012-03-15,"Car, Ronald|Kannan, Hari|Lee, Robert|Kirkpatrick, Peter E"
US8316176,B1,"Non-volatile semiconductor memory segregating sequential data during garbage collection to reduce write amplification","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/5QQ2kx75WM_ikbLGG5Gzaw%3D%3D,G06F01200000,G06F0012024600,711103000,,2012-11-20,2012-11-20,2010-02-17,2010-02-17,2030-12-19,2012-11-20,2012-11-20,"Phan, Lan D|Suryabudi, Dominic S"
