Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
US20220019367,A1,"Migrating data in and out of cloud environments","Pure Storage, Inc.",https://patentscout.innography.com/share/YqxZjB8iT5DtW3o_u90yzQ%3D%3D,G06F00306000,G06F0003060800,711004000,2022-01-20,,2022-01-20,2017-04-21,2021-09-28,2037-11-04,2022-01-20,2017-05-04,"Freilich, Joshua|Fay, Matthew|Thomasson, Riley|Karr, Ronald|Prakashaiah, Virendra"
US11960777,B2,"Utilizing multiple redundancy schemes within a unified storage element","Pure Storage, Inc.",https://patentscout.innography.com/share/pwMrEuKhsuc9nTOJ4TlefQ%3D%3D,G06F00306000,G06F0003065900,711004000,2023-10-05,2024-04-16,2024-04-16,2017-06-12,2023-02-27,2037-12-22,2018-12-20,2018-12-13,"Karr, Ronald|Sapuntzakis, Constantine|Colgrove, John"
US20230266885,A1,"Modifying slice storage in flash memory based on utilization level","Pure Storage, Inc.",https://patentscout.innography.com/share/EZlQj5tsKXG7Un8zwrz77g%3D%3D,G06F00306000,G06F0003061900,711004000,2023-08-24,,2023-08-24,2011-04-01,2023-04-30,2032-10-27,2012-10-04,2012-10-04,"Resch, Jason K.|Grube, Gary W."
US20150012798,A1,"Utilizing local memory and dispersed storage memory to access encoded data slices","Pure Storage, Inc.",https://patentscout.innography.com/share/7Ll3f_MJdt10WsXZifST1w%3D%3D,G06F01110000,G06F0003061900,714764000,2015-01-08,2015-08-18,2015-01-08,2011-04-01,2014-09-09,2015-08-18,2012-10-04,2012-10-04,"Resch, Jason K|Grube, Gary W|Markison, Timothy W"
US20150026539,A1,"Utilizing a local area network memory and a dispersed storage network memory to access data","Pure Storage, Inc.",https://patentscout.innography.com/share/3w7Hwx23rwBr9BB6aWiaLg%3D%3D,G06F01110000,G06F0003061900,714764000,2015-01-22,2015-12-08,2015-01-22,2011-04-01,2014-10-03,2015-12-08,2012-10-04,2012-10-04,"Resch, Jason K|Grube, Gary W|Markison, Timothy W"
US20150067445,A1,"Adjusting a dispersal parameter of dispersedly stored data","Pure Storage, Inc.",https://patentscout.innography.com/share/oDLLTw6SEwe-4bjbXhM75A%3D%3D,G06F01110000,G06F0003061900,714766000,2015-03-05,2015-09-15,2015-03-05,2011-04-01,2014-09-09,2015-09-15,2012-10-04,2012-10-04,"Resch, Jason K.|Grube, Gary W.|Markison, Timothy W."
US20150373120,A1,"Adjusting a dispersal parameter of dispersedly stored data","Pure Storage, Inc.",https://patentscout.innography.com/share/069Jq0ZEblrQdgc2N1t3bQ%3D%3D,H04L02908000,G06F0003061900,455414400,2015-12-24,2016-11-22,2015-12-24,2011-04-01,2015-09-01,2016-11-22,2012-10-04,2012-10-04,"Resch, Jason K.|Grube, Gary W.|Markison, Timothy W."
US20160055060,A1,"Utilizing a local area network memory and a dispersed storage network memory to access data","Pure Storage, Inc.",https://patentscout.innography.com/share/ZSO9DgmX6rc9C7nLhdAYHA%3D%3D,G06F01110000,G06F0003061900,714807000,2016-02-25,2016-10-18,2016-02-25,2011-04-01,2015-11-02,2016-10-18,2012-10-04,2012-10-04,"Resch, Jason K.|Grube, Gary W.|Markison, Timothy W."
US20120254690,A1,"Utilizing local memory and dispersed storage memory to access encoded data slices","Pure Storage, Inc.",https://patentscout.innography.com/share/zg9nWSy9ukUzxqYy3prt2w%3D%3D,H03M01305000,G06F0003061900,714763000,2012-10-04,2014-09-23,2012-10-04,2011-04-01,2012-03-06,2014-09-23,2012-10-04,2012-10-04,"Resch, Jason K|Grube, Gary W|Markison, Timothy W"
US20120254691,A1,"Adjusting a dispersal parameter of dispersedly stored data","Pure Storage, Inc.",https://patentscout.innography.com/share/Os6a9qRY_J0JYZNg3WnMzQ%3D%3D,H03M01305000,G06F0003061900,714763000,2012-10-04,2014-09-23,2012-10-04,2011-04-01,2012-03-06,2014-09-23,2012-10-04,2012-10-04,"Resch, Jason K|Grube, Gary W|Markison, Timothy W"
US20120254692,A1,"Utilizing a local area network memory and a dispersed storage network memory to access data","Pure Storage, Inc.",https://patentscout.innography.com/share/VkAxAsXajX4YlFzj1eiasQ%3D%3D,H03M01305000,G06F0003061900,714763000,2012-10-04,2014-11-04,2012-10-04,2011-04-01,2012-03-06,2014-11-04,2012-10-04,2012-10-04,"Resch, Jason K|Grube, Gary W|Markison, Timothy W"
US9208026,B2,"Utilizing a local area network memory and a dispersed storage network memory to access data","Pure Storage, Inc.",https://patentscout.innography.com/share/ZxKZV-1PhSOLqhQf0hhcug%3D%3D,G11C02942000,G06F0003061900,365052000,2015-01-22,2015-12-08,2015-12-08,2011-04-01,2014-10-03,2032-10-02,2012-10-04,2012-10-04,"Resch, Jason K|Grube, Gary W|Markison, Timothy W"
US9471427,B2,"Utilizing a local area network memory and a dispersed storage network memory to access data","Pure Storage, Inc.",https://patentscout.innography.com/share/TYnSoOYMj8_jZcuRpE-7Yw%3D%3D,G06F01110000,G06F0003061900,714807000,2016-02-25,2016-10-18,2016-10-18,2011-04-01,2015-11-02,2032-10-02,2012-10-04,2012-10-04,"Resch, Jason K.|Grube, Gary W.|Markison, Timothy W."
US9501358,B2,"Adjusting a dispersal parameter of dispersedly stored data","Pure Storage, Inc.",https://patentscout.innography.com/share/u6oJIiRl1BSwvMvi66NTIw%3D%3D,G06F01110000,G06F0003061900,714807000,2015-12-24,2016-11-22,2016-11-22,2011-04-01,2015-09-01,2032-10-27,2012-10-04,2012-10-04,"Resch, Jason K.|Grube, Gary W.|Markison, Timothy W."
US9110834,B2,"Utilizing local memory and dispersed storage memory to access encoded data slices","Pure Storage, Inc.",https://patentscout.innography.com/share/qqhvR2nuv6wUhHOqW8-mdw%3D%3D,G06F01108000,G06F0003061900,714797000,2015-01-08,2015-08-18,2015-08-18,2011-04-01,2014-09-09,2032-07-04,2012-10-04,2012-10-04,"Resch, Jason K|Grube, Gary W|Markison, Timothy W"
US9135114,B2,"Adjusting a dispersal parameter of dispersedly stored data","Pure Storage, Inc.",https://patentscout.innography.com/share/xGkZG00Lzu8dLcJoGPUpfw%3D%3D,G11C02942000,G06F0003061900,365052000,2015-03-05,2015-09-15,2015-09-15,2011-04-01,2014-09-09,2032-10-27,2012-10-04,2012-10-04,"Resch, Jason K|Grube, Gary W|Markison, Timothy W"
US12353321,B2,"Artificial intelligence model for optimal storage system operation","Pure Storage, Inc.",https://patentscout.innography.com/share/E-7OmvfZNYsXMRbh-9dAFQ%3D%3D,G06F01202000,G06F0012023000,345543000,2025-04-03,2025-07-08,2025-07-08,2023-10-03,2023-10-03,2044-01-11,2025-04-03,2025-07-08,"Gottiparthy, Rohit"
US12353716,B2,"Balancing the number of read operations and write operations that may be simultaneously serviced by a storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/3NyZjo4EqmWyPFYad6iXWQ%3D%3D,G06F00306000,G06F0003061100,711004000,2022-06-23,2025-07-08,2025-07-08,2022-03-14,2022-03-14,2031-01-02,2022-03-15,2025-07-08,"Colgrove, John|Harmer, Craig|Hayes, John|Hong, Bo|Miller, Ethan|Wang, Feng"
US12353746,B2,"Selecting storage resources based on data characteristics","Pure Storage, Inc.",https://patentscout.innography.com/share/1UUkP2aiVwiO1eZrbqE6XQ%3D%3D,G06F00300000,G06F0003064400,708134000,2023-08-03,2025-07-08,2025-07-08,2023-04-06,2023-04-06,2036-06-10,2023-04-11,2025-07-08,"Bernat, Andrew|Dewitt, Zoltan|Colgrove, John"
US20250110865,A1,"Artificial intelligence model for optimal storage system operation","Pure Storage, Inc.",https://patentscout.innography.com/share/Tz2x8v2KDJZoOut6YdFLpg%3D%3D,G06F01202000,G06F0012023000,345543000,2025-04-03,2025-07-08,2025-04-03,2023-10-03,2023-10-03,2025-07-08,2025-04-03,2025-04-03,"Gottiparthy, Rohit"
US20170192684,A1,"Auditing a transaction in a dispersed storage network","Pure Storage, Inc.",https://patentscout.innography.com/share/cjomOxEpTXQ02_dQIBgQiQ%3D%3D,G06F00306000,G06F0003060500,711004000,2017-07-06,,2017-07-06,2011-05-09,2017-03-22,2021-03-29,2017-07-06,2012-11-15,"Grube, Gary W.|Markison, Timothy W.|Resch, Jason K."
US20160253240,A1,"Rebuilding encoded data slices in a dispersed storage network","Pure Storage, Inc.",https://patentscout.innography.com/share/xKK4EyaQSYyfS6rQu6sung%3D%3D,G06F01110000,G06F0003067000,714807000,2016-09-01,2018-09-18,2016-09-01,2015-02-27,2015-12-30,2018-09-18,2016-09-01,2016-09-01,"Cocagne, Thomas Darrel"
US20180107422,A1,"Optimizing data storage in a dispersed storage network","Pure Storage, Inc.",https://patentscout.innography.com/share/ek2YezSrEb8NWMnBmXteHg%3D%3D,G06F00306000,G06F0003064400,711004000,2018-04-19,2019-08-20,2018-04-19,2015-02-27,2017-12-14,2019-08-20,2018-04-19,2016-09-01,"Wozniak, Ethan S.|Baptist, Andrew D.|Dhuse, Greg R.|Volvovski, Ilya|Resch, Jason K.|Khadiwala, Ravi V.|Leggette, Wesley B."
US10078472,B2,"Rebuilding encoded data slices in a dispersed storage network","Pure Storage, Inc.",https://patentscout.innography.com/share/ulKQcRH3uuhdlOp02hc6KQ%3D%3D,G06F01110000,G06F0003067000,714807000,2016-09-01,2018-09-18,2018-09-18,2015-02-27,2015-12-30,2036-09-19,2016-09-01,2016-09-01,"Cocagne, Thomas Darrel"
US10387067,B2,"Optimizing data storage in a dispersed storage network","Pure Storage, Inc.",https://patentscout.innography.com/share/WN7926puKRqCEiyWMJ24bw%3D%3D,G06F01110000,G06F0003064400,714807000,2018-04-19,2019-08-20,2019-08-20,2015-02-27,2017-12-14,2023-08-20,2018-04-19,2016-09-01,"Wozniak, Ethan S.|Baptist, Andrew D.|Dhuse, Greg R.|Volvovski, Ilya|Resch, Jason K.|Khadiwala, Ravi V.|Leggette, Wesley B."
US11836369,B1,"Storing data in an expanded storage pool of a vast storage network","Pure Storage, Inc.",https://patentscout.innography.com/share/Foe8eVArLD5IpikUfiEZmA%3D%3D,G06F00306000,G06F0003064400,711004000,,2023-12-05,2023-12-05,2015-02-27,2020-12-29,2036-02-24,2023-12-05,2016-09-01,"Wozniak, Ethan S.|Baptist, Andrew D.|Dhuse, Greg R.|Volvovski, Ilya|Resch, Jason K.|Khadiwala, Ravi V.|Leggette, Wesley B."
US20240094934,A1,"Re-encoding data in a storage network based on addition of additional storage units","Pure Storage, Inc.",https://patentscout.innography.com/share/aYR2ZibtWAViDPQp1kFk1A%3D%3D,G06F00306000,G06F0003064400,711004000,2024-03-21,2025-02-11,2024-03-21,2015-02-27,2023-11-27,2025-02-11,2023-12-05,2016-09-01,"Wozniak, Ethan S.|Baptist, Andrew D.|Dhuse, Greg R.|Volvovski, Ilya|Resch, Jason K.|Khadiwala, Ravi V.|Leggette, Wesley B."
US12223194,B2,"Re-encoding data in a storage network based on addition of additional storage units","Pure Storage, Inc.",https://patentscout.innography.com/share/uIOGGttJ7Cklc3npIlZnDg%3D%3D,G06F00306000,G06F0003064400,711004000,2024-03-21,2025-02-11,2025-02-11,2015-02-27,2023-11-27,2035-12-30,2023-12-05,2016-09-01,"Wozniak, Ethan S.|Baptist, Andrew D.|Dhuse, Greg R.|Volvovski, Ilya|Resch, Jason K.|Khadiwala, Ravi V.|Leggette, Wesley B."
US10528280,B1,"Tombstones for no longer relevant deduplication entries","Pure Storage, Inc.",https://patentscout.innography.com/share/fgi-z_cUXQPki7l_pPdvbg%3D%3D,G06F01200000,G06F0003064100,710244000,,2020-01-07,2020-01-07,2017-01-31,2017-01-31,2037-11-27,2020-01-07,2020-01-07,"Sandvig, Cary A.|Sapuntzakis, Constantine P.|Wang, Feng"
US20200133548,A1,"Thining databases for garbage collection","Pure Storage, Inc.",https://patentscout.innography.com/share/ZphBsPI3kKcBE9fJPFGe8A%3D%3D,G06F00306000,G06F0003064100,711004000,2020-04-30,2022-03-01,2020-04-30,2017-01-31,2019-12-30,2022-03-01,2020-01-07,2020-01-07,"Sandvig, Cary A.|Sapuntzakis, Constantine P.|Wang, Feng"
US11262929,B2,"Thining databases for garbage collection","Pure Storage, Inc.",https://patentscout.innography.com/share/I61a_vXmqrxBOijruAhj1g%3D%3D,G06F01200000,G06F0003064100,710244000,2020-04-30,2022-03-01,2022-03-01,2017-01-31,2019-12-30,2037-05-28,2020-01-07,2020-01-07,"Sandvig, Cary A.|Sapuntzakis, Constantine P.|Wang, Feng"
US10521151,B1,"Determining effective space utilization in a storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/CxZXHAxmPoThGkvhwQlisQ%3D%3D,G06F01300000,G06F0003065300,345540000,,2019-12-31,2019-12-31,2018-03-05,2018-03-05,2038-05-02,2019-12-31,2019-12-31,"Fay, Matthew|Colgrove, John|Harriman, Martin"
US10942650,B1,"Reporting capacity utilization in a storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/tIxoOXwemm1LKIhcVhZ0Vw%3D%3D,G06F00306000,G06F0003060800,711004000,,2021-03-09,2021-03-09,2018-03-05,2019-12-12,2038-05-02,2021-03-09,2019-12-31,"Fay, Matthew|Colgrove, John|Harriman, Martin"
US11150834,B1,"Determining storage consumption in a storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/mrp7aJWnDHQw6BgtOwwGiw%3D%3D,G06F00306000,G06F0003065300,711004000,,2021-10-19,2021-10-19,2018-03-05,2020-06-10,2038-03-05,2021-10-19,2019-12-31,"Fay, Matthew|Neelakantam, Naveen|Karr, Ronald|Vohra, Taher"
US20220011961,A1,"Calculating storage consumption for distinct client entities","Pure Storage, Inc.",https://patentscout.innography.com/share/Fzx2W8P8-vRTkuw4QQTT9Q%3D%3D,G06F00306000,G06F0003065300,711004000,2022-01-13,2023-03-28,2022-01-13,2018-03-05,2021-09-27,2023-03-28,2021-10-19,2019-12-31,"Fay, Matthew|Neelakantam, Naveen|Karr, Ronald|Vohra, Taher"
US20220137855,A1,"Resource utilization using normalized input/output ('i/o') operations","Pure Storage, Inc.",https://patentscout.innography.com/share/pDtJ9L5L2_6zinoa-HJqIg%3D%3D,G06F00306000,G06F0003060400,711004000,2022-05-05,2024-04-30,2022-05-05,2018-03-05,2022-01-12,2024-04-30,2022-05-05,2019-12-31,"Irwin, Jonas|Fay, Matthew"
US20220269418,A1,"Sizing resources for a replication target","Pure Storage, Inc.",https://patentscout.innography.com/share/EX3nVHq90a7y_zsiuY9rrQ%3D%3D,G06F00306000,G06F0003060400,711004000,2022-08-25,2024-01-02,2022-08-25,2018-03-05,2022-04-29,2024-01-02,2022-08-25,2019-12-31,"Black, Christopher|Wang, Feng|Fay, Matthew"
US11474701,B1,"Determining capacity consumption in a deduplicating storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/Rkr7o1Q_ivLeXIFMp9ZvUg%3D%3D,G06F00306000,G06F0003060800,711004000,,2022-10-18,2022-10-18,2018-03-05,2021-01-25,2038-05-02,2021-03-09,2019-12-31,"Fay, Matthew|Colgrove, John|Harriman, Martin"
US20230023279,A1,"Determining storage capacity utilization based on deduplicated data","Pure Storage, Inc.",https://patentscout.innography.com/share/4G6mHHjtytlEKH47Oj2y7Q%3D%3D,G06F00306000,G06F0003060800,711004000,2023-01-26,2023-12-05,2023-01-26,2018-03-05,2022-09-30,2023-12-05,2021-03-09,2019-12-31,"Fay, Matthew|Colgrove, John|Harriman, Martin"
US11614881,B2,"Calculating storage consumption for distinct client entities","Pure Storage, Inc.",https://patentscout.innography.com/share/eFxZsSR3yXkwzs399B_OSw%3D%3D,G06F00306000,G06F0003065300,711004000,2022-01-13,2023-03-28,2023-03-28,2018-03-05,2021-09-27,2038-03-05,2021-10-19,2019-12-31,"Fay, Matthew|Neelakantam, Naveen|Karr, Ronald|Vohra, Taher"
US20230259299,A1,"Calculating storage utilization for distinct types of data","Pure Storage, Inc.",https://patentscout.innography.com/share/ZYu5XIRmplpUmleradmcYw%3D%3D,G06F00306000,G06F0003065300,711004000,2023-08-17,2024-09-03,2023-08-17,2018-03-05,2023-03-27,2024-09-03,2021-10-19,2019-12-31,"Fay, Matthew|Neelakantam, Naveen|Karr, Ronald|Vohra, Taher"
US11836349,B2,"Determining storage capacity utilization based on deduplicated data","Pure Storage, Inc.",https://patentscout.innography.com/share/cCtL3BU4zLDjNvzwyMJ0Jw%3D%3D,G06F00306000,G06F0003060800,711004000,2023-01-26,2023-12-05,2023-12-05,2018-03-05,2022-09-30,2038-05-02,2021-03-09,2019-12-31,"Fay, Matthew|Colgrove, John|Harriman, Martin"
US11861170,B2,"Sizing resources for a replication target","Pure Storage, Inc.",https://patentscout.innography.com/share/1AaE8kzFGPCkL-RWEsaYOA%3D%3D,G06F00306000,G06F0003060400,711004000,2022-08-25,2024-01-02,2024-01-02,2018-03-05,2022-04-29,2038-05-02,2022-08-25,2019-12-31,"Black, Christopher|Wang, Feng|Fay, Matthew"
US11972134,B2,"Resource utilization using normalized input/output (‘i/o’) operations","Pure Storage, Inc.",https://patentscout.innography.com/share/k060mYLmeOFqYzghH-YJkw%3D%3D,G06F00306000,G06F0003060400,711004000,2022-05-05,2024-04-30,2024-04-30,2018-03-05,2022-01-12,2038-08-01,2022-05-05,2019-12-31,"Irwin, Jonas|Fay, Matthew"
US20240152275,A1,"Storage utilization determinations in cloud-based storage systems","Pure Storage, Inc.",https://patentscout.innography.com/share/2yP6Bo8PllUU9ac4O9oqoQ%3D%3D,G06F00306000,G06F0003060800,711004000,2024-05-09,2025-02-04,2024-05-09,2018-03-05,2023-11-27,2025-02-04,2021-03-09,2019-12-31,"Fay, Matthew|Colgrove, John|Harriman, Martin"
US12079505,B2,"Calculating storage utilization for distinct types of data","Pure Storage, Inc.",https://patentscout.innography.com/share/rgx8J2FJG9MYiqPQevjJGw%3D%3D,G06F00306000,G06F0003065300,711004000,2023-08-17,2024-09-03,2024-09-03,2018-03-05,2023-03-27,2038-03-05,2021-10-19,2019-12-31,"Fay, Matthew|Neelakantam, Naveen|Karr, Ronald|Vohra, Taher"
US20250021226,A1,"Managing storage resource requirements for storage objects","Pure Storage, Inc.",https://patentscout.innography.com/share/CjbqM5942SQE2QdE2RjNmQ%3D%3D,G06F00306000,G06F0003060400,711004000,2025-01-16,,2025-01-16,2018-03-05,2023-12-28,2038-05-02,2022-08-25,2019-12-31,"Black, Christopher|Wang, Feng|Fay, Matthew"
US12216902,B2,"Storage utilization determinations in cloud-based storage systems","Pure Storage, Inc.",https://patentscout.innography.com/share/ULmZdDHn_790lfj6l25Jgg%3D%3D,G06F00306000,G06F0003060800,711004000,2024-05-09,2025-02-04,2025-02-04,2018-03-05,2023-11-27,2038-03-05,2021-03-09,2019-12-31,"Fay, Matthew|Colgrove, John|Harriman, Martin"
US11397545,B1,"Emulating persistent reservations in a cloud-based storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/pnMJWy0j9VmiIfR0jFp6Uw%3D%3D,G06F00306000,G06F0003066400,711004000,,2022-07-26,2022-07-26,2021-01-20,2021-01-20,2041-02-04,2022-07-26,2022-07-26,"Hamid, Irfan|Brennan, Timothy"
US20220261192,A1,"Administering storage access in a cloud-based storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/qRK27hq_5w-gk7jFcUqzsw%3D%3D,G06F00306000,G06F0003066400,711004000,2022-08-18,2023-07-04,2022-08-18,2021-01-20,2022-04-28,2023-07-04,2022-07-26,2022-07-26,"Hamid, Irfan|Brennan, Timothy"
US11693604,B2,"Administering storage access in a cloud-based storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/OH5IAEmwLQK8tMuls7hl5Q%3D%3D,G06F00306000,G06F0003066400,711004000,2022-08-18,2023-07-04,2023-07-04,2021-01-20,2022-04-28,2041-01-20,2022-07-26,2022-07-26,"Hamid, Irfan|Brennan, Timothy"
US10976948,B1,"Cluster expansion mechanism","Pure Storage, Inc.",https://patentscout.innography.com/share/WQ3DPLh3BXr5M4DsypxxBw%3D%3D,G06F00306000,G06F0003060700,711004000,,2021-04-13,2021-04-13,2018-01-31,2018-01-31,2038-02-16,2021-04-13,2021-04-13,"Lee, Robert|Hayes, John|Sleiman, Faissal"
US20210181949,A1,"Distributed storage system expansion mechanism","Pure Storage, Inc.",https://patentscout.innography.com/share/qrOOLVUqIqrG5AMdDgsofQ%3D%3D,G06F00306000,G06F0003060700,711004000,2021-06-17,2022-09-13,2021-06-17,2018-01-31,2021-02-25,2022-09-13,2021-04-13,2021-04-13,"Lee, Robert|Hayes, John|Sleiman, Faisaal"
US11442645,B2,"Distributed storage system expansion mechanism","Pure Storage, Inc.",https://patentscout.innography.com/share/62MbY3I9XBjOnnmpCeixcA%3D%3D,G06F00306000,G06F0003060700,711004000,2021-06-17,2022-09-13,2022-09-13,2018-01-31,2021-02-25,2038-01-31,2021-04-13,2021-04-13,"Lee, Robert|Hayes, John|Sleiman, Faissal"
US20220382476,A1,"Expanding data structures in a storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/9G6hl7H6Lqq_JL1bPOXNfg%3D%3D,G06F00306000,G06F0003060700,711004000,2022-12-01,2023-10-24,2022-12-01,2018-01-31,2022-07-29,2023-10-24,2021-04-13,2021-04-13,"Lee, Robert|Hayes, John|Sleiman, Faissal"
US11797211,B2,"Expanding data structures in a storage system","Pure Storage, Inc.",https://patentscout.innography.com/share/d155M5Wg58CSReO2RgaQNA%3D%3D,G06F00306000,G06F0003060700,711004000,2022-12-01,2023-10-24,2023-10-24,2018-01-31,2022-07-29,2038-01-31,2021-04-13,2021-04-13,"Lee, Robert|Hayes, John|Sleiman, Faissal"
US20240004570,A1,"Storage cluster data structure expansion","Pure Storage, Inc.",https://patentscout.innography.com/share/KfWpfutIm6eebaUEBQReQg%3D%3D,G06F00306000,G06F0003060700,711004000,2024-01-04,,2024-01-04,2018-01-31,2023-09-18,2025-03-27,2021-04-13,2021-04-13,"Lee, Robert|Hayes, John|Sleiman, Faissal"
US20160041868,A1,"Data rebuild on feedback from a queue in a non-volatile solid-state storage","Pure Storage, Inc.",https://patentscout.innography.com/share/4Nl77B4syq9BiDZq4A4wyA%3D%3D,G06F01110000,G06F0003060400,714807000,2016-02-11,2016-11-01,2016-02-11,2014-08-07,2014-08-07,2016-11-01,2016-02-11,2016-02-11,"Davis, John D|Hayes, John|Zhangxi, Tan|Kannan, Hari|Miladinovic, Nenad"
US9483346,B2,"Data rebuild on feedback from a queue in a non-volatile solid-state storage","Pure Storage, Inc.",https://patentscout.innography.com/share/HfGPQA0kebIiwtv0z0ly_A%3D%3D,G01R03131870,G06F0003060400,324750300,2016-02-11,2016-11-01,2016-11-01,2014-08-07,2014-08-07,2034-08-07,2016-02-11,2016-02-11,"Davis, John D|Hayes, John|Zhangxi, Tan|Kannan, Hari|Miladinovic, Nenad"
US20170024141,A1,"Data rebuild on feedback from a queue in a non-volatile solid-state storage","Pure Storage, Inc.",https://patentscout.innography.com/share/tcuPcKPSMHSxDh-w8U7whQ%3D%3D,G06F00306000,G06F0003060400,711004000,2017-01-26,2019-02-26,2017-01-26,2014-08-07,2016-10-04,2019-02-26,2016-02-11,2016-02-11,"Davis, John D|Hayes, John|Kannan, Hari|Miladinovic, Nenad|Zhangxi, Tan"
