Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
US20220334755,A1,"Control block management in storage devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/1CQDl9Y34FqnEnQP2Rra6g%3D%3D,G06F00306000,G06F0003065500,711004000,2022-10-20,2023-10-03,2022-10-20,2021-04-19,2021-04-19,2023-10-03,2022-10-20,2022-10-20,"Sreedhar, Adarsh|Srimal, Niraj|Muthiah, Ramanathan"
US11775200,B2,"Control block management in storage devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/1AhHnwK0x96UZ8dSAz6RfA%3D%3D,G06F00306000,G06F0003065500,711004000,2022-10-20,2023-10-03,2023-10-03,2021-04-19,2021-04-19,2041-04-28,2022-10-20,2022-10-20,"Sreedhar, Adarsh|Srimal, Niraj|Muthiah, Ramanathan"
KR20170081133,A,"Method for storing data by storage device and storage device","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/fHrx_qPOD30DXxkCkKbvRA%3D%3D,G06F00306000,G06F0003060000,711004000,2017-07-11,2018-08-02,2017-07-11,2015-11-27,2015-11-27,2018-08-02,2017-05-27,2017-05-27,"Lin, Chungong|Xu, Fei|Cai, Enting"
KR20180072855,A,"Method for storing data by storage device and storage device","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/4zclKHZ-IE1HVeE756_rrw%3D%3D,G06F00306000,G06F0003060000,711004000,2018-06-29,2019-03-26,2018-06-29,2015-11-27,2015-11-27,2019-03-26,2017-05-27,2017-05-27,"Lin, Chungong|Xu, Fei|Cai, Enting"
US20180232314,A1,"Method for storing data by storage device and storage device","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/o9-77ZLrF6AXSQ8sohbKZQ%3D%3D,G06F01210000,G06F0003060000,345568000,2018-08-16,,2018-08-16,2015-11-27,2018-03-01,2021-09-21,2017-05-27,2017-05-27,"Lin, Chungong|Xu, Fei|Cai, Enting"
KR101871471,B1,"The method and the storage unit for storing data with the storage unit.","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/QMrXfxQ0iU9rubxoWhdqNQ%3D%3D,G06F00306000,G06F0003060000,711004000,2017-07-11,2018-08-02,2018-08-02,2015-11-27,2015-11-27,2035-11-27,2017-05-27,2017-05-27,"Lin, Chungong|Xu, Fei|Cai, Enting"
CN107003809,B,"A storage device stores data of the method and memory device","Huawei Tech Co Ltd",https://patentscout.innography.com/share/Q2x7BBaVJsSM7nxrzTXXSg%3D%3D,G06F00306000,G06F0003060000,711004000,2017-08-01,2019-01-18,2019-01-18,2015-11-27,2015-11-27,2035-11-27,2017-05-27,2017-05-27,"Lin, Chungong|Xu, Fei|Cai, Enting"
KR101962359,B1,"Method for storing data by storage device and storage device","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/AX2EXURz_X1Jjg9sWan4_A%3D%3D,G06F00306000,G06F0003060000,711004000,2018-06-29,2019-03-26,2019-03-26,2015-11-27,2015-11-27,2035-11-27,2017-05-27,2017-05-27,"Lin, Chungong|Xu, Fei|Cai, Enting"
CN109656486,A,"A storage device stores data of the method and memory device","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/L3YYygIjz73ZjYKUWs_83Q%3D%3D,G06F00306000,G06F0003060000,711004000,2019-04-19,2022-07-12,2019-04-19,2015-11-27,2015-11-27,2022-07-12,2017-05-27,2017-05-27,"Lin, Chungong|Xu, Fei|Cai, Enting"
CN109656486,B,"Configuration method of solid state disk, data storage method, solid state disk and storage controller","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/mjIrRDcYUN6PkJWFiXfHhA%3D%3D,G06F00306000,G06F0003060000,711004000,2019-04-19,2022-07-12,2022-07-12,2015-11-27,2015-11-27,2035-11-27,2017-05-27,2017-05-27,"Lin, Chungong|Xu, Fei|Cai, Enting"
CN103049222,A,"A raid5 write io optimization processing method","No.709 Research Institute Of China Shipbuilding Industry Corporation",https://patentscout.innography.com/share/Cf8BvbCugWVVHoEeRkLIvQ%3D%3D,G06F00306000,G06F0003060000,711004000,2013-04-17,2016-05-25,2013-04-17,2012-12-28,2012-12-28,2016-05-25,2013-04-17,2013-04-17,"Liu, Xiaofang|Fu, Caide|Zhou, Jun|Wan, Baolin"
CN103049222,B,"A raid5 write io optimization processing method","No.709 Research Institute Of China Shipbuilding Industry Corporation",https://patentscout.innography.com/share/_sg0Bj25x04QOplFpS35-w%3D%3D,G06F00306000,G06F0003060000,711004000,2013-04-17,2016-05-25,2016-05-25,2012-12-28,2012-12-28,2024-06-25,2013-04-17,2013-04-17,"Liu, Xiaofang|Fu, Caide|Zhou, Jun|Wan, Baolin"
CN106502586,B,"A method for improving sequential read performance of solid state hard disk","Ramaxel Technology (shenzhen) Co., Ltd.",https://patentscout.innography.com/share/8HyVmoBcoGFx3BIQrRXWvg%3D%3D,G06F00306000,G06F0003061000,711004000,2017-03-15,2019-10-25,2019-10-25,2016-10-17,2016-10-17,2036-10-16,2017-03-15,2017-03-15,"Guo, Lingli"
CN106485719,A,"A method and system for locating the scanning line when the capacitor touch screen test","South China Normal University",https://patentscout.innography.com/share/PwHa0vMhMbP9aWGUoXRElg%3D%3D,G06T00711000,G06F0003044000,340005530,2017-03-08,2019-09-27,2017-03-08,2016-10-25,2016-10-25,2019-09-27,2017-03-08,2017-03-08,"Pan, Zhongliang|Chen, Ling"
CN106485719,B,"A method and system for positioning scan line when performing capacitive touch screen test","South China Normal University",https://patentscout.innography.com/share/5S6zJHkOyhVQI4dhDxGIsg%3D%3D,G06T00711000,G06F0003044000,340005530,2017-03-08,2019-09-27,2019-09-27,2016-10-25,2016-10-25,2024-06-28,2017-03-08,2017-03-08,"Pan, Zhongliang|Chen, Ling"
CN113590505,A,"Address mapping method, solid state disk controller and solid state disk","Shenzhen Dapu Microelectronics Technology Co., Ltd.",https://patentscout.innography.com/share/Ef3pHbbwhVeO5ZeTDLTcfA%3D%3D,G06F01206000,G06F0012063000,345571000,2021-11-02,2024-07-19,2021-11-02,2021-06-30,2021-06-30,2024-07-19,2021-11-02,2021-11-02,"Gou, Duo|Chen, Xiang"
CN113590505,B,"Address mapping method, solid state hard disk controller and solid state hard disk","Shenzhen Dapu Microelectronics Co., Ltd.",https://patentscout.innography.com/share/dyC_ynqjU2kL_MPQ-SImvQ%3D%3D,G06F01206000,G06F0012063000,345571000,2021-11-02,2024-07-19,2024-07-19,2021-06-30,2021-06-30,2041-06-29,2021-11-02,2021-11-02,"Gou, Duo|Chen, Xiang"
US20220342544,A1,"Dynamic superblocks","Micron Technology, Inc",https://patentscout.innography.com/share/NcyG8vO7M7C2_9wDtbeo3A%3D%3D,G06F00306000,G06F0003060400,711004000,2022-10-27,2023-06-06,2022-10-27,2021-04-27,2021-04-27,2023-06-06,2022-10-27,2022-10-27,"Cariello, Giuseppe"
CN115248662,A,"Dynamic super-block","Micron Technology Inc.",https://patentscout.innography.com/share/XSdxhAzloGtwuKaWUjiAgg%3D%3D,G06F00306000,G06F0003060400,711004000,2022-10-28,,2022-10-28,2021-04-27,2022-04-26,2042-04-26,2022-10-27,2022-10-27,"Cariello, Giuseppe"
US11669258,B2,"Dynamic superblocks","Micron Technology, Inc",https://patentscout.innography.com/share/1kad6xvgWuyvzPOpWPqu-A%3D%3D,G06F00306000,G06F0003060400,711004000,2022-10-27,2023-06-06,2023-06-06,2021-04-27,2021-04-27,2041-04-27,2022-10-27,2022-10-27,"Cariello, Giuseppe"
CN106502416,B,"An intelligent identifying double simulation driving system of hand gesture and its control method","Guangzhou College Of South China University Of Technology",https://patentscout.innography.com/share/ss3OaKeDqtHdddsyFDjL1g%3D%3D,G06F00301000,G06F0003017000,715701000,2017-03-15,2019-04-02,2019-04-02,2016-11-09,2016-11-09,2036-11-08,2017-03-15,2017-03-15,"Miao, Wennan|Ye, Zicheng"
CN108733576,A,"A solid state disk memory conversion layer architecture and method","Auspitek Technology (shenzhen) Co., Ltd.",https://patentscout.innography.com/share/MLFMXeO2bQF-NpEmilnPVw%3D%3D,G06F01202000,G06F0012024600,345543000,2018-11-02,2022-12-09,2018-11-02,2017-04-20,2017-04-20,2022-12-09,2018-11-02,2018-11-02,"Lin, Yuwei|Hu, Hao|Peng, Zhongde"
US12189977,B2,"System and method for fine granular retention control in storage devices","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/9TfffdOAFcjQZcluKLHG8w%3D%3D,G06F00300000,G06F0003065900,708134000,2022-11-17,2025-01-07,2025-01-07,2021-05-12,2021-07-01,2041-07-01,2022-11-15,2022-11-15,"Kachare, Ramdas P.|Zhao, Dongwan"
CN117242439,A,"Intelligent data placement on hierarchical storage","Huawei Technologies Co., Ltd.",https://patentscout.innography.com/share/SQcHu7VDSEwizoV49A9akA%3D%3D,G06F01208620,G06F0012086200,713340000,2023-12-15,,2023-12-15,2021-05-04,2021-05-04,2041-05-04,2022-11-10,2022-11-10,"Natason, Asaf|Schneider, Zvi"
CN106557273,A,"Data management method for solid state disk, write management system and method thereof","Apacer Technology Inc.",https://patentscout.innography.com/share/7AZID8eHZyBY_wFrWcq58Q%3D%3D,G06F00306000,G06F0003060000,711004000,2017-04-05,,2017-04-05,2015-09-30,2015-09-30,2019-08-13,2017-04-05,2017-04-05,"Li, Junchang"
US20220358041,A1,"Systems and methods for profiling host-managed device memory","Meta Platforms, Inc.",https://patentscout.innography.com/share/P7AvG5sm_vAt6t74cowb2g%3D%3D,G06F01208170,G06F0012083500,713340000,2022-11-10,2023-06-06,2022-11-10,2021-05-05,2021-05-05,2023-06-06,2022-11-10,2022-11-10,"Vijayrao, Narsing Krishna|Petersen, Christian Markus"
US11669455,B2,"Systems and methods for profiling host-managed device memory","Meta Platforms, Inc.",https://patentscout.innography.com/share/UBXQkg87SVuOnq4aiD3Nxg%3D%3D,G06F01208170,G06F0012083500,713340000,2022-11-10,2023-06-06,2023-06-06,2021-05-05,2021-05-05,2041-05-05,2022-11-10,2022-11-10,"Vijayrao, Narsing Krishna|Petersen, Christian Markus"
CN110471628,A,"A can reduce data page of dispersed data storage method","Shenzhen Shichuangyi Electronic Co., Ltd.",https://patentscout.innography.com/share/cv4wNHW6UYDgVoOC5GjgXQ%3D%3D,G06F00306000,G06F0003061600,711004000,2019-11-19,2022-12-02,2019-11-19,2019-08-21,2019-08-21,2022-12-02,2019-11-19,2019-11-19,"Ni, Huangzhong"
CN111506264,A,"Virtual multi-channel sdram access method supporting flexible block access","Huazhong University Of Science And Technology",https://patentscout.innography.com/share/sp_gRcdySjwvq5g_grl3VQ%3D%3D,G06F00306000,G06F0003064000,711004000,2020-08-07,2021-07-06,2020-08-07,2020-04-10,2020-04-10,2021-07-06,2020-08-07,2020-08-07,"Yan, Luxin|Guo, Chaole|Chen, Liqun|Yan, Zhang|Wang, Zhenyu|Cui, Yubin|Zhong, Sheng"
CN111506264,B,"Virtual multi-channel sdram access method supporting flexible partition access","Huazhong University Of Science And Technology",https://patentscout.innography.com/share/M25YZ3nSLji8v5Zm7fXp9w%3D%3D,G06F00306000,G06F0003064000,711004000,2020-08-07,2021-07-06,2021-07-06,2020-04-10,2020-04-10,2040-04-09,2020-08-07,2020-08-07,"Yan, Luxin|Guo, Chaole|Chen, Liqun|Yan, Zhang|Wang, Zhenyu|Cui, Yubin|Zhong, Sheng"
CN106569745,A,"A memory optimizing system for repeating data deleting under memory overload","Jinan University [guangdong]",https://patentscout.innography.com/share/SXF5cWabRjEL0ZifXklSPQ%3D%3D,G06F00306000,G06F0003060700,711004000,2017-04-19,2019-07-19,2017-04-19,2016-10-25,2016-10-25,2019-07-19,2017-04-19,2017-04-19,"Deng, Yuhui|Liu, Ruikai"
CN106569745,B,"Memory optimizing system a under memory overload for repeating data deleting","Jinan University [guangdong]",https://patentscout.innography.com/share/fcaqTAdViT0icr-iCglHSg%3D%3D,G06F00306000,G06F0003060700,711004000,2017-04-19,2019-07-19,2019-07-19,2016-10-25,2016-10-25,2036-10-24,2017-04-19,2017-04-19,"Deng, Yuhui|Liu, Ruikai"
KR20220159269,A,"Storage device and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/c3D_TtOUtSSBilt6hYvarw%3D%3D,G06F01202000,G06F0012024600,345543000,2022-12-02,,2022-12-02,2021-05-25,2022-05-17,2042-05-17,2022-12-02,2022-11-25,"Soon, Yeal Yang"
US11513720,B1,"Data storage device having predictive analytics","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/WPlEF8iF6XEMRLIH3SIQdg%3D%3D,G06F00306000,G06F0003065200,711004000,2022-12-15,2022-11-29,2022-11-29,2021-06-11,2021-06-11,2041-06-11,2022-11-29,2022-11-29,"A, Shaheed Nehal|Singla, Lovish"
US20220398029,A1,"Data storage device having predictive analytics","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/95UWdzpQKvqJgXTwKODgpg%3D%3D,G06F00306000,G06F0003065200,711004000,2022-12-15,2022-11-29,2022-12-15,2021-06-11,2021-06-11,2022-11-29,2022-11-29,2022-11-29,"A, Shaheed Nehal|Singla, Lovish"
US20220391089,A1,"Dissimilar write prioritization in zns devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/huB693G7IPo9hng7nwxyZQ%3D%3D,G06F00306000,G06F0003060800,711004000,2022-12-08,2022-12-27,2022-12-08,2021-06-03,2021-06-03,2022-12-27,2022-12-08,2022-12-08,"Muthiah, Ramanathan|Balakrishnan, Rakesh|Peter, Eldhose|Hahn, Judah Gamliel"
US11537305,B1,"Dissimilar write prioritization in zns devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/iWJsA2JQwFwd7an31Cxeew%3D%3D,G06F00306000,G06F0003060800,711004000,2022-12-08,2022-12-27,2022-12-27,2021-06-03,2021-06-03,2041-06-03,2022-12-08,2022-12-08,"Muthiah, Ramanathan|Balakrishnan, Rakesh|Peter, Eldhose|Hahn, Judah Gamliel"
KR20230142795,A,"Different write prioritization on zns devices","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/Xwi-xJViyVxrpqYN9H6JEg%3D%3D,G06F00306000,G06F0003060800,711004000,2023-10-11,,2023-10-11,2021-06-03,2022-01-27,2042-01-27,2022-12-08,2022-12-08,"Muthiah, Ramanathan|Balakrishnan, Rakesh|Peter, Elhose|Hahn, Judah Gamliel"
US20220391092,A1,"Memory system and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/plHoRCbOA4dMn3AeM2SLug%3D%3D,G06F00306000,G06F0012024600,711004000,2022-12-08,2023-07-11,2022-12-08,2021-06-07,2021-10-20,2023-07-11,2022-12-08,2022-12-08,"Yang, Soon Yeal"
KR20220165074,A,"Memory system and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/E4SOKKWMDSxpKQVJLmnPIA%3D%3D,G06F01202000,G06F0012024600,345543000,2022-12-14,,2022-12-14,2021-06-07,2021-06-07,2041-06-07,2022-12-08,2022-12-08,"Soon, Yeal Yang"
US11698739,B2,"Memory system and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/nvWIcGBnkbAAvwexaKl65Q%3D%3D,G06F00306000,G06F0012024600,711004000,2022-12-08,2023-07-11,2023-07-11,2021-06-07,2021-10-20,2042-01-01,2022-12-08,2022-12-08,"Yang, Soon Yeal"
US20220391115,A1,"Dissimilar write prioritization in zns devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/47sfyK_Rg5CB61Sq_KmnOw%3D%3D,G06F00306000,G06F0003063500,711004000,2022-12-08,2022-12-27,2022-12-08,2021-06-03,2021-06-03,2022-12-27,2022-12-08,2022-12-08,"Muthiah, Ramanathan|Balakrishnan, Rakesh|Peter, Eldhose|Hahn, Judah Gamliel"
US11537303,B1,"Dissimilar write prioritization in zns devices","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/PqQrefrHd-epY7VDdNvXrQ%3D%3D,G06F01200000,G06F0003063500,710244000,2022-12-08,2022-12-27,2022-12-27,2021-06-03,2021-06-03,2041-06-03,2022-12-08,2022-12-08,"Muthiah, Ramanathan|Balakrishnan, Rakesh|Peter, Eldhose|Hahn, Judah Gamliel"
US11520507,B1,"System and method for test precondition generation based on factory-formatted state of memory device","Sk Hynix Inc.",https://patentscout.innography.com/share/1f96W9CQHK2kqK73CXSdpg%3D%3D,G06F00306000,G06F0003060500,711004000,,2022-12-06,2022-12-06,2021-08-19,2021-08-19,2041-08-19,2022-12-06,2022-12-06,"Zaitsau, Yahor"
CN115708164,A,"System and method for generating test pre-processing","Sk Hynix Inc.",https://patentscout.innography.com/share/XqIGLVHAG2gAiW4MCVyd2A%3D%3D,G11C02956000,G06F0003060500,365052000,2023-02-21,,2023-02-21,2021-08-19,2022-03-04,2042-03-04,2022-12-06,2022-12-06,"Zatscha, Yarhor"
US20220398038,A1,"Multi-path layer configured to access storage-side performance metrics for load balancing policy control","Emc Ip Holding Company LLC",https://patentscout.innography.com/share/bp6BzK88kanROojHNRBvqw%3D%3D,G06F00306000,G06F0003065900,711004000,2022-12-15,2023-09-19,2022-12-15,2021-06-11,2021-07-23,2023-09-19,2022-12-15,2022-12-15,"Anchi, Amit Pundalik|Patel, Rimpesh|Mallick, Sanjib"
US11762588,B2,"Multi-path layer configured to access storage-side performance metrics for load balancing policy control","Emc Ip Holding Company LLC",https://patentscout.innography.com/share/lXxAent61cXT5BxTauwAFA%3D%3D,G06F00306000,G06F0003065900,711004000,2022-12-15,2023-09-19,2023-09-19,2021-06-11,2021-07-23,2042-01-10,2022-12-15,2022-12-15,"Anchi, Amit Pundalik|Patel, Rimpesh|Mallick, Sanjib"
US20220398201,A1,"Information processing apparatus and method","Kioxia Corporation",https://patentscout.innography.com/share/hhTWKlsGFiNlSIj2JqSfXA%3D%3D,G06F00306000,G06F0012102700,713340000,2022-12-15,2023-11-07,2022-12-15,2021-06-10,2022-03-03,2023-11-07,2022-12-15,2022-12-15,"Goto, Masataka|Okuda, Kohei|Kurita, Takahiro"
US11809330,B2,"Information processing apparatus and method","Kioxia Corporation",https://patentscout.innography.com/share/3iakD1FBBp3LKWTJjjLnSA%3D%3D,G06F00306000,G06F0012102700,711004000,2022-12-15,2023-11-07,2023-11-07,2021-06-10,2022-03-03,2042-03-03,2022-12-15,2022-12-15,"Goto, Masataka|Okuda, Kohei|Kurita, Takahiro"
US20220404996,A1,"Fast garbage collection in zoned namespaces ssds","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/hG5Yq0OHy-qYc78kmrReWw%3D%3D,G06F00306000,G06F0003060800,711004000,2022-12-22,2023-01-03,2022-12-22,2021-06-17,2021-06-17,2023-01-03,2022-12-22,2022-12-22,"Xie, Hongmei|Karki, Aajna|Li, Xiaoying|In, Ji-hyun|Gorrle, Dhanunjaya Rao"
US20220405001,A1,"Fast garbage collection in zoned namespaces ssds","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/8NEHl1nHM9A-tPrZw3MNbg%3D%3D,G06F00306000,G06F0003060800,711004000,2022-12-22,2023-05-02,2022-12-22,2021-06-17,2022-07-21,2023-05-02,2022-12-22,2022-12-22,"Xie, Hongmei|Karki, Aajna|Li, Xiaoying|In, Ji-hyun|Gorrle, Dhanunjaya Rao"
US11543993,B1,"Fast garbage collection in zoned namespaces ssds","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/1sY6RKHnFtBGdriXhde3Pw%3D%3D,G06F00306000,G06F0003060800,711004000,2022-12-22,2023-01-03,2023-01-03,2021-06-17,2021-06-17,2041-06-17,2022-12-22,2022-12-22,"Xie, Hongmei|Karki, Aajna|Li, Xiaoying|In, Ji-hyun|Gorrle, Dhanunjaya Rao"
US11640260,B2,"Fast garbage collection in zoned namespaces ssds","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/FG1-9tslj3ha0GkVtcaTIA%3D%3D,G06F00306000,G06F0003060800,711004000,2022-12-22,2023-05-02,2023-05-02,2021-06-17,2022-07-21,2041-06-17,2022-12-22,2022-12-22,"Xie, Hongmei|Karki, Aajna|Li, Xiaoying|In, Ji-hyun|Gorrle, Dhanunjaya Rao"
KR20230144079,A,"Fast garbage collection on zoned namespace ssds","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/mVT8kTPesRSYwhiqTCtZDw%3D%3D,G06F01202000,G06F0003060800,345543000,2023-10-13,,2023-10-13,2021-06-17,2022-03-10,2042-03-10,2022-12-22,2022-12-22,"Xie, Hongmei|Karki, Aajna|Li, Xiaoying|In, Ji Hyun|Gorrle, Dhanunjaya Rao"
CN103176753,A,"Storage device and data management method thereof","Shenzhen Longsys Electronics Co., Ltd.",https://patentscout.innography.com/share/MvjiXzuNU-GsTiNELYKmBQ%3D%3D,G06F00306000,G06F0003060000,711004000,2013-06-26,2016-06-01,2013-06-26,2013-03-07,2013-03-07,2016-06-01,2013-06-26,2013-06-26,"Zhong, Yanhui|Li, Zhixiong"
CN103176753,B,"Storage device and data management method thereof","Shenzhen Netcom Electronics Co., Ltd.",https://patentscout.innography.com/share/dzfwTotCQk_hV9_JZJW4RA%3D%3D,G06F00306000,G06F0003060000,711004000,2013-06-26,2016-06-01,2016-06-01,2013-03-07,2013-03-07,2033-03-06,2013-06-26,2013-06-26,"Zhong, Yanhui|Li, Zhixiong"
CN106610802,A,"Protection device for dot matrix picture image file of the virtual printer and storage method","Huaian Power Supply Company, State Grid Jiangsu Electric Power Company; Lianshui County Power Supply Company, State Grid Jiangsu Electric Power Company; State Grid Corporation Of China",https://patentscout.innography.com/share/-BLzmmF8gD1XwBKy150Byw%3D%3D,G06F00312000,G06F0003120600,235432000,2017-05-03,2019-08-09,2017-05-03,2016-12-15,2016-12-15,2019-08-09,2017-05-03,2017-05-03,"Liu, Jiange|Wang, Yang|Yu, Kun|Zhi, Lei|Huang, Wei"
US20220413729,A1,"Tiered storage system with defragmentation based on weighted flash fragmentation factor","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/Ji7_ZP7HzluX98zogiON2g%3D%3D,G06F01210090,G06F0003068500,711004000,2022-12-29,2023-05-30,2022-12-29,2021-06-25,2021-06-25,2023-05-30,2022-12-29,2022-12-29,"Sharma, Amit|Agarwal, Dinesh Kumar"
US11662932,B2,"Tiered storage system with defragmentation based on weighted flash fragmentation factor","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/hB3E6ofG1IaMU0FZGV2eKg%3D%3D,G06F00306000,G06F0003068500,711004000,2022-12-29,2023-05-30,2023-05-30,2021-06-25,2021-06-25,2041-06-25,2022-12-29,2022-12-29,"Sharma, Amit|Agarwal, Dinesh Kumar"
US20230004325,A1,"Data processing system and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/PyJPsqfmMmrlQeEL4pmeng%3D%3D,G06F00306000,G06F0012024600,711004000,2023-01-05,,2023-01-05,2021-06-30,2022-02-16,2025-04-15,2022-12-30,2022-12-30,"Byun, Eu-joon"
KR20230004075,A,"Data processing system and operating method thereof","Sk Hynix Inc.",https://patentscout.innography.com/share/U8ygJhM8sNLk9wKM4N0rwQ%3D%3D,G06F01202000,G06F0012024600,345543000,2023-01-06,,2023-01-06,2021-06-30,2021-06-30,2041-06-30,2022-12-30,2022-12-30,"Byun, Eu Joon"
US10073656,B2,"Systems and methods for storage virtualization","Sandisk Technologies, Inc.",https://patentscout.innography.com/share/Vpfy4ux0xMyEFq-YpfZkng%3D%3D,G06F00306000,G06F0003066500,711004000,2014-08-07,2018-09-11,2018-09-11,2012-01-27,2014-04-04,2033-01-25,2014-08-07,2013-08-01,"Zhe Yang, Jerene|Luan, Yang|Lim Tze Hao, Brent|Joshi, Vikram|Brown, Michael|Radhakrishnan, Prashanth|Flynn, David|Mehta, Bhavesh"
US20170168951,A1,"Memory system and method for controlling nonvolatile memory","Kioxia Corporation",https://patentscout.innography.com/share/6THMXvoAbJC6y1Rxd7UP7Q%3D%3D,G06F01202000,G06F0012024600,345568000,2017-06-15,2019-05-07,2017-06-15,2015-12-14,2016-03-03,2019-05-07,2017-06-15,2017-06-15,"Kanno, Shinichi"
US10282288,B2,"Memory system and method for controlling nonvolatile memory","Kioxia Corporation",https://patentscout.innography.com/share/v_fz92ZmleuMHT7dOwZDrw%3D%3D,G06F01200000,G06F0012024600,710244000,2017-06-15,2019-05-07,2019-05-07,2015-12-14,2016-03-03,2036-04-15,2017-06-15,2017-06-15,"Kanno, Shinichi"
CN111722797,A,"Data management method facing ssd and ha-smr mixed storage system, storage medium and device","Xi'an Jiaotong University",https://patentscout.innography.com/share/qjOKwvi94kHgPq0USKVAnQ%3D%3D,G06F00306000,G06F0003060400,711004000,2020-09-29,2021-06-29,2020-09-29,2020-05-18,2020-05-18,2021-06-29,2020-09-29,2020-09-29,"Wu, Weiguo|Zhang, Chi|Zhang, Chen|Nie, Shiqiang|Zheng, Xuda|Ma, Chunmiao"
CN111722797,B,"Data management method facing ssd and ha-smr hybrid storage system, storage medium and device","Xi'an Jiaotong University",https://patentscout.innography.com/share/GzRLt9AfVyP814FaOZoVUQ%3D%3D,G06F00306000,G06F0003060400,711004000,2020-09-29,2021-06-29,2021-06-29,2020-05-18,2020-05-18,2040-05-17,2020-09-29,2020-09-29,"Wu, Weiguo|Zhang, Chi|Zhang, Chen|Nie, Shiqiang|Zheng, Xuda|Ma, Chunmiao"
CN106802777,A,"A flash translation layer control method for a solid-state storage device","Hangzhou Dianzi University",https://patentscout.innography.com/share/zk4pe6iXT12gdIqXEqRzOA%3D%3D,G06F00306000,G06F0003061100,713340000,2017-06-06,,2017-06-06,2017-01-20,2017-01-20,2021-01-29,2017-06-06,2017-06-06,"Fan, Lingyan|Yuan, Zhidong|He, Hong|Mei, Yuehui"
US20230031745,A1,"Memory system and controller of memory system","Sk Hynix Inc.",https://patentscout.innography.com/share/IS6ioXbNsYiO_45o6ZSrDA%3D%3D,G06F00306000,G06F0003065800,711004000,2023-02-02,,2023-02-02,2021-08-02,2021-12-23,2023-11-17,2023-02-02,2023-02-02,"Noh, Jung Ki"
KR20230019714,A,"Memory system and controller of memory system","Sk Hynix Inc.",https://patentscout.innography.com/share/MzkA0KdbrfhCkSmzbjQNsg%3D%3D,G06F00306000,G06F0003065800,711004000,2023-02-09,,2023-02-09,2021-08-02,2021-08-02,2041-08-02,2023-02-02,2023-02-02,"Jung, Ki Noh"
CN106775429,A,"A method and device for drawing memory based on touch screen","Qingdao Hisense Electric Co., Ltd.",https://patentscout.innography.com/share/6ZAkv7F0M3eph6AWjXq8-A%3D%3D,G06F00304880,G06F0003048830,713340000,2017-05-31,,2017-05-31,2017-03-08,2017-03-08,2017-08-25,2017-05-31,2017-05-31,"Wang, Min|Zhang, Qingtao|Li, Baocheng|Shen, Jing|Li, Chunhua"
KR20240132611,A,"Data storage device including a solid state drive","Sk Hynix Inc.; Seoul National University R&db Foundation",https://patentscout.innography.com/share/8vM13ujMVm1NXJbxLiTftQ%3D%3D,G06F00306000,G06F0003061400,711004000,2024-09-04,,2024-09-04,2023-02-27,2023-02-27,2043-02-27,2024-08-29,2024-08-29,"Minwook, Kim|Jinsoo, Kim|Ikjoon, Son|Euidong, Lee"
US20130227198,A1,"Flash memory device and electronic device employing thereof","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/bKpd2tr0dZx30kcQDUAE6Q%3D%3D,G06F01202000,G06F0012024600,711103000,2013-08-29,,2013-08-29,2012-02-23,2012-12-06,2015-01-29,2013-08-29,2013-08-29,"Lee, Jun-woo"
